s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 8.800E+02, 2.014E+02,-1.238E+02,-4.363E+00,-5.805E+01, 4.111E-01, 4.425E-01, 0.000E+00, 1.496E+00, 1.595E+01, 3.999E-03, 3.999E-03,-8.506E+01
 8.900E+02, 1.997E+02,-1.256E+02,-1.898E+00,-5.929E+01, 3.857E-01,-6.946E-01, 0.000E+00,-2.500E+00, 1.256E+01, 3.999E-03, 3.999E-03,-1.515E+02
 9.000E+02, 1.886E+02,-1.245E+02, 1.081E+01,-6.042E+01, 3.887E-01, 1.413E-01, 0.000E+00, 4.137E-01, 1.500E+01, 3.999E-03, 3.999E-03,-1.405E+02
 9.100E+02, 1.919E+02,-1.206E+02, 2.626E+00,-5.794E+01, 4.314E-01, 3.472E-01, 0.000E+00, 1.107E+00, 1.678E+01, 3.999E-03, 3.999E-03,-1.110E+02
 9.200E+02, 2.003E+02,-1.212E+02,-8.946E+00,-5.645E+01, 3.166E-01,-2.693E-01, 0.000E+00,-9.817E-01, 1.372E+01, 3.999E-03, 3.999E-03,-1.371E+02
 9.300E+02, 2.002E+02,-1.243E+02, 3.459E-01,-5.895E+01, 3.198E-01, 9.258E-01, 0.000E+00, 3.100E+00, 1.861E+01, 3.999E-03, 3.999E-03,-5.475E+01
 9.400E+02, 2.035E+02,-1.239E+02,-5.567E+00,-5.756E+01, 3.045E-01, 1.166E+00, 0.000E+00, 4.086E+00, 1.794E+01, 3.999E-03, 3.999E-03, 5.389E+01
 9.500E+02, 1.690E+02,-1.201E+02, 1.794E+01,-5.768E+01, 2.363E-01,-1.192E+00, 0.000E+00,-4.380E+00, 8.254E+00, 3.999E-03, 3.999E-03,-6.263E+01
 9.600E+02, 1.892E+02,-1.199E+02,-7.996E-01,-5.482E+01, 1.847E-01, 5.721E-02, 0.000E+00, 1.812E-01, 1.394E+01, 3.999E-03, 3.999E-03,-5.781E+01
 9.700E+02, 2.109E+02,-1.252E+02,-1.804E+01,-5.815E+01, 2.969E-01,-2.362E+00, 0.000E+00,-8.317E+00, 7.401E+00, 3.999E-03, 3.999E-03,-2.785E+02
