s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS
 8.700E+02, 1.000E+02,-3.300E+01,-4.467E+01,-2.304E+01, 4.410E-01, 0.000E+00, 0.000E+00, 0.000E+00,-2.126E-01, 0.000E+00, 2.000E-03, 0.000E+00
 8.800E+02, 1.003E+02,-3.306E+01,-4.494E+01,-2.290E+01, 4.383E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.966E-01, 0.000E+00, 2.000E-03, 0.000E+00
 8.900E+02, 1.001E+02,-3.310E+01,-4.462E+01,-2.304E+01, 4.367E-01, 0.000E+00, 0.000E+00, 0.000E+00,-2.220E-01, 0.000E+00, 2.000E-03, 0.000E+00
 9.000E+02, 1.000E+02,-3.300E+01,-4.469E+01,-2.298E+01, 4.373E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.897E-01, 0.000E+00, 2.000E-03, 0.000E+00
 9.100E+02, 1.000E+02,-3.282E+01,-4.545E+01,-2.238E+01, 4.380E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.673E-01, 0.000E+00, 2.000E-03, 0.000E+00
 9.200E+02, 9.998E+01,-3.258E+01,-4.513E+01,-2.291E+01, 4.362E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.934E-01, 0.000E+00, 2.000E-03, 0.000E+00
 9.300E+02, 1.004E+02,-3.257E+01,-4.595E+01,-2.248E+01, 4.366E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.565E-01, 0.000E+00, 2.000E-03, 0.000E+00
 9.400E+02, 1.000E+02,-3.258E+01,-4.583E+01,-2.223E+01, 4.344E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.806E-01, 0.000E+00, 2.000E-03, 0.000E+00
 9.500E+02, 1.002E+02,-3.278E+01,-4.584E+01,-2.218E+01, 4.417E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.988E-01, 0.000E+00, 2.000E-03, 0.000E+00
 9.600E+02, 1.002E+02,-3.271E+01,-4.607E+01,-2.202E+01, 4.372E-01, 0.000E+00, 0.000E+00, 0.000E+00,-2.013E-01, 0.000E+00, 2.000E-03, 0.000E+00
 9.700E+02, 1.002E+02,-3.269E+01,-4.582E+01,-2.229E+01, 4.389E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.895E-01, 0.000E+00, 2.000E-03, 0.000E+00
 9.800E+02, 1.001E+02,-3.280E+01,-4.525E+01,-2.270E+01, 4.411E-01, 0.000E+00, 0.000E+00, 0.000E+00,-2.141E-01, 0.000E+00, 2.000E-03, 0.000E+00
 9.900E+02, 1.001E+02,-3.273E+01,-4.503E+01,-2.298E+01, 4.385E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.594E-01, 0.000E+00, 2.000E-03, 0.000E+00
 1.000E+03, 9.999E+01,-3.279E+01,-4.537E+01,-2.242E+01, 4.377E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.609E-01, 0.000E+00, 2.000E-03, 0.000E+00
 1.010E+03, 1.001E+02,-3.290E+01,-4.449E+01,-2.333E+01, 4.401E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.995E-01, 0.000E+00, 2.000E-03, 0.000E+00
 1.020E+03, 1.003E+02,-3.287E+01,-4.589E+01,-2.206E+01, 4.399E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.345E-01, 0.000E+00, 2.000E-03, 0.000E+00
 1.030E+03, 9.991E+01,-3.285E+01,-4.527E+01,-2.246E+01, 4.344E-01, 0.000E+00, 0.000E+00, 0.000E+00,-2.273E-01, 0.000E+00, 2.000E-03, 0.000E+00
 1.040E+03, 1.004E+02,-3.293E+01,-4.531E+01,-2.283E+01, 4.394E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.956E-01, 0.000E+00, 2.000E-03, 0.000E+00
 1.050E+03, 1.000E+02,-3.298E+01,-4.472E+01,-2.287E+01, 4.342E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.313E-01, 0.000E+00, 2.000E-03, 0.000E+00
 1.060E+03, 1.000E+02,-3.288E+01,-4.550E+01,-2.222E+01, 4.347E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.586E-01, 0.000E+00, 2.000E-03, 0.000E+00
 1.070E+03, 1.002E+02,-3.278E+01,-4.575E+01,-2.228E+01, 4.406E-01, 0.000E+00, 0.000E+00, 0.000E+00,-2.171E-01, 0.000E+00, 2.000E-03, 0.000E+00
 1.080E+03, 1.005E+02,-3.282E+01,-4.623E+01,-2.208E+01, 4.407E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.779E-01, 0.000E+00, 2.000E-03, 0.000E+00
 1.090E+03, 9.999E+01,-3.270E+01,-4.537E+01,-2.256E+01, 4.362E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.990E-01, 0.000E+00, 2.000E-03, 0.000E+00
 1.100E+03, 1.003E+02,-3.275E+01,-4.583E+01,-2.228E+01, 4.354E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.738E-01, 0.000E+00, 2.000E-03, 0.000E+00
