s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS,MLR_WATER VAPOR,ZONE_1
 3.75E+02, 0.00E+00, 9.43E+00, 1.88E+00, 5.73E+00, 0.00E+00,-1.01E-01,-1.94E+01,-2.43E+00,-2.43E+00, 0.00E+00, 2.13E-02, 0.00E+00, 1.34E-04, 2.63E+04
 3.80E+02, 0.00E+00, 9.38E+00, 1.91E+00, 5.79E+00, 0.00E+00, 5.54E-02,-1.89E+01,-1.72E+00,-1.72E+00, 0.00E+00, 2.05E-02, 0.00E+00, 1.09E-04, 2.63E+04
 3.85E+02, 0.00E+00, 9.39E+00, 1.85E+00, 5.71E+00, 0.00E+00,-1.02E-01,-1.93E+01,-2.40E+00,-2.40E+00, 0.00E+00, 2.13E-02, 0.00E+00, 8.59E-05, 2.63E+04
 3.90E+02, 0.00E+00, 9.35E+00, 1.87E+00, 5.50E+00, 0.00E+00,-4.25E-02,-1.88E+01,-2.09E+00,-2.08E+00, 0.00E+00, 2.04E-02, 0.00E+00, 6.70E-05, 2.63E+04
 3.95E+02, 0.00E+00, 9.32E+00, 1.87E+00, 5.73E+00, 0.00E+00,-2.20E-02,-1.89E+01,-2.06E+00,-2.05E+00, 0.00E+00, 2.12E-02, 0.00E+00, 4.91E-05, 2.63E+04
 4.00E+02, 0.00E+00, 9.32E+00, 1.86E+00, 5.29E+00, 0.00E+00, 3.65E-03,-1.84E+01,-1.88E+00,-1.88E+00, 0.00E+00, 2.04E-02, 0.00E+00, 3.48E-05, 2.63E+04
 4.05E+02, 0.00E+00, 9.27E+00, 1.87E+00, 5.50E+00, 0.00E+00,-1.48E-02,-1.86E+01,-1.98E+00,-1.98E+00, 0.00E+00, 2.06E-02, 0.00E+00, 2.29E-05, 2.63E+04
 4.10E+02, 0.00E+00, 9.23E+00, 1.86E+00, 5.51E+00, 0.00E+00, 5.39E-02,-1.84E+01,-1.76E+00,-1.76E+00, 0.00E+00, 2.09E-02, 0.00E+00, 1.42E-05, 2.63E+04
 4.15E+02, 0.00E+00, 9.13E+00, 1.86E+00, 5.39E+00, 0.00E+00, 3.56E-02,-1.82E+01,-1.79E+00,-1.79E+00, 0.00E+00, 2.08E-02, 0.00E+00, 8.37E-06, 2.63E+04
 4.20E+02, 0.00E+00, 9.15E+00, 1.86E+00, 5.20E+00, 0.00E+00, 3.52E-02,-1.81E+01,-1.83E+00,-1.83E+00, 0.00E+00, 2.10E-02, 0.00E+00, 3.28E-06, 2.63E+04
