s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_WATER VAPOR,MLR_TOTAL
 8.5199997E+001, 0.0000000E+000, 1.6102195E-004,-4.5027890E-003, 2.4561612E-003, 2.1129368E-003, 0.0000000E+000, 0.0000000E+000, 2.5703618E-004, 2.2733101E-004, 0.0000000E+000, 5.5590789E-005
 8.6400002E+001, 0.0000000E+000, 1.6212199E-004,-4.6703582E-003, 2.4217078E-003, 2.1598482E-003, 0.0000000E+000, 0.0000000E+000, 1.1316445E-004, 7.3319762E-005, 0.0000000E+000, 5.6343933E-005
 8.7599998E+001, 0.0000000E+000, 1.6598809E-004,-4.5840084E-003, 2.3987749E-003, 2.1869060E-003, 0.0000000E+000, 0.0000000E+000, 2.1590179E-004, 1.6766055E-004, 0.0000000E+000, 5.6580729E-005
 8.8800003E+001, 0.0000000E+000, 1.7048498E-004,-4.6818385E-003, 2.3968781E-003, 2.2228031E-003, 0.0000000E+000, 0.0000000E+000, 1.4070209E-004, 1.0832770E-004, 0.0000000E+000, 5.7476025E-005
 9.0000000E+001, 0.0000000E+000, 1.7250962E-004,-4.4429739E-003, 2.3933330E-003, 2.2583330E-003, 0.0000000E+000, 0.0000000E+000, 4.0185155E-004, 3.8120179E-004, 0.0000000E+000, 5.8881257E-005
 9.1199997E+001, 0.0000000E+000, 1.7325039E-004,-4.6863202E-003, 2.3786809E-003, 2.2812912E-003, 0.0000000E+000, 0.0000000E+000, 1.6521587E-004, 1.4690222E-004, 0.0000000E+000, 6.0088908E-005
 9.2400002E+001, 0.0000000E+000, 1.7616511E-004,-4.7769029E-003, 2.3383392E-003, 2.3013168E-003, 0.0000000E+000, 0.0000000E+000, 5.4647113E-005, 3.8918214E-005, 0.0000000E+000, 6.0945549E-005
 9.3599998E+001, 0.0000000E+000, 1.7812241E-004,-4.5963678E-003, 2.3095172E-003, 2.3457402E-003, 0.0000000E+000, 0.0000000E+000, 2.5326879E-004, 2.3701200E-004, 0.0000000E+000, 6.2225980E-005
 9.4800003E+001, 0.0000000E+000, 1.7940806E-004,-4.5945521E-003, 2.2993756E-003, 2.3981174E-003, 0.0000000E+000, 0.0000000E+000, 2.9257218E-004, 2.8234905E-004, 0.0000000E+000, 6.3775597E-005
 9.6000000E+001, 0.0000000E+000, 1.8070647E-004,-4.5880240E-003, 2.2673842E-003, 2.4685880E-003, 0.0000000E+000, 0.0000000E+000, 3.5152229E-004, 3.2865467E-004, 0.0000000E+000, 6.5235205E-005
 9.7199997E+001, 0.0000000E+000, 1.8242988E-004,-4.7444701E-003, 2.2401290E-003, 2.5189802E-003, 0.0000000E+000, 0.0000000E+000, 2.2286817E-004, 1.9706898E-004, 0.0000000E+000, 6.6527078E-005
 9.8400002E+001, 0.0000000E+000, 1.8468036E-004,-4.7264421E-003, 2.2238718E-003, 2.5434537E-003, 0.0000000E+000, 0.0000000E+000, 2.4724413E-004, 2.2556378E-004, 0.0000000E+000, 6.7590005E-005
 9.9599998E+001, 0.0000000E+000, 1.8573447E-004,-4.6363840E-003, 2.1848131E-003, 2.5490849E-003, 0.0000000E+000, 0.0000000E+000, 3.1536243E-004, 2.8324852E-004, 0.0000000E+000, 6.8561486E-005
 1.0080000E+002, 0.0000000E+000, 1.8499604E-004,-5.0257576E-003, 2.1766538E-003, 2.5794638E-003, 0.0000000E+000, 0.0000000E+000,-5.1940131E-005,-8.4643967E-005, 0.0000000E+000, 6.9538342E-005
 1.0200000E+002, 0.0000000E+000, 1.8674265E-004,-4.9427852E-003, 2.1439944E-003, 2.6278004E-003, 0.0000000E+000, 0.0000000E+000, 6.0570985E-005, 1.5752249E-005, 0.0000000E+000, 7.0492749E-005
 1.0320000E+002, 0.0000000E+000, 1.8951193E-004,-4.2947120E-003, 2.1512156E-003, 2.6964756E-003, 0.0000000E+000, 0.0000000E+000, 7.7023363E-004, 7.4249114E-004, 0.0000000E+000, 7.2552093E-005
 1.0440000E+002, 0.0000000E+000, 1.8642309E-004,-4.6339562E-003, 2.1065591E-003, 2.6435994E-003, 0.0000000E+000, 0.0000000E+000, 3.5231142E-004, 3.0262538E-004, 0.0000000E+000, 7.3519509E-005
