s,C,kW/m2,C,kW/m2,C,kW/m2
Time,WALL TEMPERATURE-CONE_3p07_025,HRRPUA-CONE_3p07_025,WALL TEMPERATURE-CONE_3p07_050,HRRPUA-CONE_3p07_050,WALL TEMPERATURE-CONE_3p07_075,HRRPUA-CONE_3p07_075
 4.480E+02, 4.855E+02, 2.279E+01, 6.516E+02, 0.000E+00, 7.614E+02, 0.000E+00
 4.500E+02, 4.856E+02, 2.270E+01, 6.516E+02, 0.000E+00, 7.614E+02, 0.000E+00
 4.520E+02, 4.856E+02, 2.261E+01, 6.516E+02, 0.000E+00, 7.614E+02, 0.000E+00
 4.540E+02, 4.856E+02, 2.252E+01, 6.516E+02, 0.000E+00, 7.614E+02, 0.000E+00
 4.560E+02, 4.857E+02, 2.243E+01, 6.517E+02, 0.000E+00, 7.614E+02, 0.000E+00
 4.580E+02, 4.857E+02, 2.234E+01, 6.517E+02, 0.000E+00, 7.614E+02, 0.000E+00
 4.600E+02, 4.858E+02, 2.226E+01, 6.517E+02, 0.000E+00, 7.614E+02, 0.000E+00
 4.620E+02, 4.858E+02, 2.218E+01, 6.517E+02, 0.000E+00, 7.614E+02, 0.000E+00
 4.640E+02, 4.859E+02, 2.210E+01, 6.517E+02, 0.000E+00, 7.614E+02, 0.000E+00
 4.660E+02, 4.859E+02, 2.203E+01, 6.517E+02, 0.000E+00, 7.614E+02, 0.000E+00
 4.680E+02, 4.859E+02, 2.195E+01, 6.518E+02, 0.000E+00, 7.614E+02, 0.000E+00
 4.700E+02, 4.860E+02, 2.188E+01, 6.518E+02, 0.000E+00, 7.615E+02, 0.000E+00
