s,kW/m2,kW/m2,kW/m2
Time,"HRRPUA-25","HRRPUA-50","HRRPUA-75"
 2.780E+02, 2.201E+01, 0.000E+00, 0.000E+00
 2.790E+02, 2.191E+01, 0.000E+00, 0.000E+00
 2.800E+02, 2.182E+01, 0.000E+00, 0.000E+00
 2.810E+02, 2.172E+01, 0.000E+00, 0.000E+00
 2.820E+02, 2.163E+01, 0.000E+00, 0.000E+00
 2.830E+02, 2.155E+01, 0.000E+00, 0.000E+00
 2.840E+02, 2.146E+01, 0.000E+00, 0.000E+00
 2.850E+02, 2.138E+01, 0.000E+00, 0.000E+00
 2.860E+02, 2.130E+01, 0.000E+00, 0.000E+00
 2.870E+02, 2.123E+01, 0.000E+00, 0.000E+00
 2.880E+02, 2.116E+01, 0.000E+00, 0.000E+00
 2.890E+02, 2.109E+01, 0.000E+00, 0.000E+00
 2.900E+02, 2.101E+01, 0.000E+00, 0.000E+00
 2.910E+02, 2.093E+01, 0.000E+00, 0.000E+00
 2.920E+02, 2.085E+01, 0.000E+00, 0.000E+00
 2.930E+02, 2.076E+01, 0.000E+00, 0.000E+00
 2.940E+02, 2.067E+01, 0.000E+00, 0.000E+00
 2.950E+02, 2.057E+01, 0.000E+00, 0.000E+00
 2.960E+02, 2.047E+01, 0.000E+00, 0.000E+00
 2.970E+02, 2.036E+01, 0.000E+00, 0.000E+00
 2.980E+02, 2.024E+01, 0.000E+00, 0.000E+00
 2.990E+02, 2.013E+01, 0.000E+00, 0.000E+00
 3.000E+02, 2.001E+01, 0.000E+00, 0.000E+00
 3.010E+02, 1.990E+01, 0.000E+00, 0.000E+00
 3.020E+02, 1.978E+01, 0.000E+00, 0.000E+00
 3.030E+02, 1.967E+01, 0.000E+00, 0.000E+00
 3.040E+02, 1.956E+01, 0.000E+00, 0.000E+00
 3.050E+02, 1.945E+01, 0.000E+00, 0.000E+00
 3.060E+02, 1.935E+01, 0.000E+00, 0.000E+00
 3.070E+02, 1.925E+01, 0.000E+00, 0.000E+00
 3.080E+02, 1.915E+01, 0.000E+00, 0.000E+00
 3.090E+02, 1.906E+01, 0.000E+00, 0.000E+00
 3.100E+02, 1.897E+01, 0.000E+00, 0.000E+00
 3.110E+02, 1.888E+01, 0.000E+00, 0.000E+00
 3.120E+02, 1.879E+01, 0.000E+00, 0.000E+00
 3.130E+02, 1.870E+01, 0.000E+00, 0.000E+00
 3.140E+02, 1.861E+01, 0.000E+00, 0.000E+00
 3.150E+02, 1.852E+01, 0.000E+00, 0.000E+00
 3.160E+02, 1.843E+01, 0.000E+00, 0.000E+00
 3.170E+02, 1.833E+01, 0.000E+00, 0.000E+00
 3.180E+02, 1.824E+01, 0.000E+00, 0.000E+00
 3.190E+02, 1.815E+01, 0.000E+00, 0.000E+00
 3.200E+02, 1.805E+01, 0.000E+00, 0.000E+00
 3.210E+02, 1.795E+01, 0.000E+00, 0.000E+00
 3.220E+02, 1.785E+01, 0.000E+00, 0.000E+00
 3.230E+02, 1.775E+01, 0.000E+00, 0.000E+00
 3.240E+02, 1.765E+01, 0.000E+00, 0.000E+00
 3.250E+02, 1.755E+01, 0.000E+00, 0.000E+00
 3.260E+02, 1.744E+01, 0.000E+00, 0.000E+00
 3.270E+02, 1.734E+01, 0.000E+00, 0.000E+00
 3.280E+02, 1.723E+01, 0.000E+00, 0.000E+00
 3.290E+02, 1.712E+01, 0.000E+00, 0.000E+00
 3.300E+02, 1.701E+01, 0.000E+00, 0.000E+00
