s,C,kW/m2,C,kW/m2,C,kW/m2
Time,"WALL TEMPERATURE-CONE_12p70_035","HRRPUA-CONE_12p70_035","WALL TEMPERATURE-CONE_12p70_050","HRRPUA-CONE_12p70_050","WALL TEMPERATURE-CONE_12p70_075","HRRPUA-CONE_12p70_075"
 2.210E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 2.220E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 2.230E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 2.240E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 2.250E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 2.260E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 2.270E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 2.280E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 2.290E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 2.300E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 2.310E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 2.320E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 2.330E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 2.340E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
 2.350E+03, 5.411E+02, 0.000E+00, 6.317E+02, 0.000E+00, 7.439E+02, 0.000E+00
