s,C,kW/m2,C,kW/m2,C,kW/m2
Time,WALL TEMPERATURE-CONE_14p29_025,HRRPUA-CONE_14p29_025,WALL TEMPERATURE-CONE_14p29_050,HRRPUA-CONE_14p29_050,WALL TEMPERATURE-CONE_14p29_075,HRRPUA-CONE_14p29_075
 4.040E+02, 4.979E+02, 0.000E+00, 6.607E+02, 0.000E+00, 7.690E+02, 0.000E+00
 4.060E+02, 4.979E+02, 0.000E+00, 6.607E+02, 0.000E+00, 7.691E+02, 0.000E+00
 4.080E+02, 4.979E+02, 0.000E+00, 6.607E+02, 0.000E+00, 7.691E+02, 0.000E+00
 4.100E+02, 4.979E+02, 0.000E+00, 6.607E+02, 0.000E+00, 7.691E+02, 0.000E+00
 4.120E+02, 4.979E+02, 0.000E+00, 6.607E+02, 0.000E+00, 7.691E+02, 0.000E+00
 4.140E+02, 4.979E+02, 0.000E+00, 6.607E+02, 0.000E+00, 7.691E+02, 0.000E+00
 4.160E+02, 4.979E+02, 0.000E+00, 6.607E+02, 0.000E+00, 7.691E+02, 0.000E+00
 4.180E+02, 4.980E+02, 0.000E+00, 6.607E+02, 0.000E+00, 7.691E+02, 0.000E+00
 4.200E+02, 4.980E+02, 0.000E+00, 6.607E+02, 0.000E+00, 7.691E+02, 0.000E+00
 4.220E+02, 4.980E+02, 0.000E+00, 6.607E+02, 0.000E+00, 7.691E+02, 0.000E+00
 4.240E+02, 4.980E+02, 0.000E+00, 6.607E+02, 0.000E+00, 7.691E+02, 0.000E+00
 4.260E+02, 4.980E+02, 0.000E+00, 6.607E+02, 0.000E+00, 7.691E+02, 0.000E+00
 4.280E+02, 4.980E+02, 0.000E+00, 6.607E+02, 0.000E+00, 7.691E+02, 0.000E+00
 4.300E+02, 4.980E+02, 0.000E+00, 6.607E+02, 0.000E+00, 7.691E+02, 0.000E+00
 4.320E+02, 4.980E+02, 0.000E+00, 6.607E+02, 0.000E+00, 7.691E+02, 0.000E+00
 4.340E+02, 4.980E+02, 0.000E+00, 6.608E+02, 0.000E+00, 7.691E+02, 0.000E+00
 4.360E+02, 4.980E+02, 0.000E+00, 6.608E+02, 0.000E+00, 7.691E+02, 0.000E+00
 4.380E+02, 4.980E+02, 0.000E+00, 6.608E+02, 0.000E+00, 7.691E+02, 0.000E+00
 4.400E+02, 4.980E+02, 0.000E+00, 6.608E+02, 0.000E+00, 7.691E+02, 0.000E+00
 4.420E+02, 4.980E+02, 0.000E+00, 6.608E+02, 0.000E+00, 7.691E+02, 0.000E+00
 4.440E+02, 4.980E+02, 0.000E+00, 6.608E+02, 0.000E+00, 7.691E+02, 0.000E+00
 4.460E+02, 4.981E+02, 0.000E+00, 6.608E+02, 0.000E+00, 7.692E+02, 0.000E+00
 4.480E+02, 4.981E+02, 0.000E+00, 6.608E+02, 0.000E+00, 7.692E+02, 0.000E+00
 4.500E+02, 4.981E+02, 0.000E+00, 6.608E+02, 0.000E+00, 7.692E+02, 0.000E+00
 4.520E+02, 4.981E+02, 0.000E+00, 6.608E+02, 0.000E+00, 7.692E+02, 0.000E+00
 4.540E+02, 4.981E+02, 0.000E+00, 6.608E+02, 0.000E+00, 7.692E+02, 0.000E+00
 4.560E+02, 4.981E+02, 0.000E+00, 6.608E+02, 0.000E+00, 7.692E+02, 0.000E+00
 4.580E+02, 4.981E+02, 0.000E+00, 6.608E+02, 0.000E+00, 7.692E+02, 0.000E+00
 4.600E+02, 4.981E+02, 0.000E+00, 6.608E+02, 0.000E+00, 7.692E+02, 0.000E+00
 4.620E+02, 4.981E+02, 0.000E+00, 6.608E+02, 0.000E+00, 7.692E+02, 0.000E+00
 4.640E+02, 4.981E+02, 0.000E+00, 6.608E+02, 0.000E+00, 7.692E+02, 0.000E+00
 4.660E+02, 4.981E+02, 0.000E+00, 6.608E+02, 0.000E+00, 7.692E+02, 0.000E+00
 4.680E+02, 4.981E+02, 0.000E+00, 6.608E+02, 0.000E+00, 7.692E+02, 0.000E+00
 4.700E+02, 4.981E+02, 0.000E+00, 6.608E+02, 0.000E+00, 7.692E+02, 0.000E+00
