cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot
 6.7588384E+001, 6.2151910E+002, 5.9110597E+002, 3.2210198E+000, 1.7653174E+002, 2.6648536E+002, 1.3626870E+000, 1.7000444E-001, 2.0425539E-002, 9.6995493E-004, 2.6055717E-004, 3.3514508E-002, 8.1390311E-004, 7.7300266E-001, 1.0009459E-003, 3.9358923E-004
 6.8593434E+001, 6.1256497E+002, 5.8305452E+002, 3.2064366E+000, 1.7188501E+002, 2.6013063E+002, 1.3531483E+000, 1.7121027E-001, 1.9868484E-002, 8.7135863E-004, 2.3092265E-004, 3.2601907E-002, 7.2760434E-004, 7.7353559E-001, 8.9877358E-004, 3.7176783E-004
 6.9598485E+001, 6.0388531E+002, 5.7535362E+002, 3.1918466E+000, 1.6721551E+002, 2.5359616E+002, 1.3431853E+000, 1.7235281E-001, 1.9331778E-002, 7.8679775E-004, 2.0467950E-004, 3.1738563E-002, 6.5373245E-004, 7.7402648E-001, 8.1121923E-004, 3.5233134E-004
 7.0603535E+001, 5.9535169E+002, 5.6786646E+002, 3.1769250E+000, 1.6243496E+002, 2.4683742E+002, 1.3326500E+000, 1.7345863E-001, 1.8805502E-002, 7.1178600E-004, 1.8043274E-004, 3.0904060E-002, 5.8832352E-004, 7.7449095E-001, 7.3354469E-004, 3.3446414E-004
 7.1608586E+001, 5.8708504E+002, 5.6060333E+002, 3.1594915E+000, 1.5779515E+002, 2.4029607E+002, 1.3217358E+000, 1.7452455E-001, 1.8295953E-002, 6.4166313E-004, 1.5809698E-004, 3.0099901E-002, 5.2721994E-004, 7.7493477E-001, 6.6076981E-004, 3.1752229E-004
 7.2613636E+001, 5.7914702E+002, 5.5357005E+002, 3.1420399E+000, 1.5332312E+002, 2.3410315E+002, 1.3093661E+000, 1.7554527E-001, 1.7805850E-002, 5.7656632E-004, 1.3810619E-004, 2.9330011E-002, 4.7053711E-004, 7.7535582E-001, 5.9327450E-004, 3.0159351E-004
 7.3618687E+001, 5.7140845E+002, 5.4673922E+002, 3.1212717E+000, 1.4913957E+002, 2.2810791E+002, 1.2987353E+000, 1.7652393E-001, 1.7332590E-002, 5.1737172E-004, 1.2062609E-004, 2.8592169E-002, 4.1906008E-004, 7.7575367E-001, 5.3205572E-004, 2.8679078E-004
 7.4623737E+001, 5.6375453E+002, 5.3997610E+002, 3.1016927E+000, 1.4561272E+002, 2.2259380E+002, 1.2895261E+000, 1.7747987E-001, 1.6865633E-002, 4.6406707E-004, 1.0587544E-004, 2.7871930E-002, 3.7280338E-004, 7.7613411E-001, 4.7693750E-004, 2.7295945E-004
 7.5628788E+001, 5.5639410E+002, 5.3350241E+002, 3.0856354E+000, 1.4251788E+002, 2.1745315E+002, 1.2758932E+000, 1.7837938E-001, 1.6421208E-002, 4.1891627E-004, 9.3104080E-005, 2.7194963E-002, 3.3374022E-004, 7.7648410E-001, 4.3029775E-004, 2.6064563E-004
 7.6633838E+001, 5.4947824E+002, 5.2743132E+002, 3.0735308E+000, 1.3971123E+002, 2.1274104E+002, 1.2589997E+000, 1.7920659E-001, 1.6010361E-002, 3.7955329E-004, 8.1630768E-005, 2.6572769E-002, 2.9974088E-004, 7.7680266E-001, 3.8959113E-004, 2.4961599E-004
 7.7638889E+001, 5.4301940E+002, 5.2174334E+002, 3.0615252E+000, 1.3707419E+002, 2.0834117E+002, 1.2441894E+000, 1.7997666E-001, 1.5626996E-002, 3.4377104E-004, 7.1359828E-005, 2.5993641E-002, 2.6885818E-004, 7.7709768E-001, 3.5247300E-004, 2.3945198E-004
