s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Time,"SPK_1","TC_1_1","TC_1_2","TC_1_3","TC_1_4","TC_1_5","SPK_2","TC_2_1","TC_2_2","TC_2_3","TC_2_4","TC_2_5","SPK_3","TC_3_1","TC_3_2","TC_3_3","TC_3_4","TC_3_5","SPK_4","TC_4_1","TC_4_2","TC_4_3","TC_4_4","TC_4_5","Acts"
 2.040E+02, 6.562E+01, 1.032E+02, 1.042E+02, 1.081E+02, 1.126E+02, 6.758E+01, 6.848E+01, 1.062E+02, 1.047E+02, 1.044E+02, 1.059E+02, 6.679E+01, 5.748E+01, 9.029E+01, 9.033E+01, 9.207E+01, 8.958E+01, 7.671E+01, 5.756E+01, 1.010E+02, 9.849E+01, 9.638E+01, 9.081E+01, 7.979E+01, 0.000E+00
 2.080E+02, 6.737E+01, 1.086E+02, 1.084E+02, 1.092E+02, 1.132E+02, 6.915E+01, 6.991E+01, 1.067E+02, 1.125E+02, 1.147E+02, 1.141E+02, 6.738E+01, 5.864E+01, 9.639E+01, 9.515E+01, 9.364E+01, 9.101E+01, 7.712E+01, 5.911E+01, 9.431E+01, 9.461E+01, 9.412E+01, 9.033E+01, 7.802E+01, 0.000E+00
 2.120E+02, 6.920E+01, 1.150E+02, 1.148E+02, 1.155E+02, 1.180E+02, 6.854E+01, 7.135E+01, 1.089E+02, 1.131E+02, 1.148E+02, 1.120E+02, 6.979E+01, 5.988E+01, 9.049E+01, 9.256E+01, 9.475E+01, 9.235E+01, 7.712E+01, 6.025E+01, 9.710E+01, 9.849E+01, 9.927E+01, 9.323E+01, 8.033E+01, 0.000E+00
 2.160E+02, 7.093E+01, 1.163E+02, 1.160E+02, 1.155E+02, 1.174E+02, 7.480E+01, 7.313E+01, 1.171E+02, 1.181E+02, 1.171E+02, 1.133E+02, 6.978E+01, 6.088E+01, 9.694E+01, 9.737E+01, 9.882E+01, 9.494E+01, 7.659E+01, 6.144E+01, 9.232E+01, 9.424E+01, 9.577E+01, 9.434E+01, 8.215E+01, 0.000E+00
 2.200E+02, 7.266E+01, 1.135E+02, 1.143E+02, 1.143E+02, 1.157E+02, 7.432E+01, 7.467E+01, 1.121E+02, 1.142E+02, 1.160E+02, 1.148E+02, 7.066E+01, 6.253E+01, 1.054E+02, 1.033E+02, 9.925E+01, 9.804E+01, 8.292E+01, 6.235E+01, 9.054E+01, 9.162E+01, 9.382E+01, 9.556E+01, 8.367E+01, 0.000E+00
 2.240E+02, 7.457E+01, 1.206E+02, 1.181E+02, 1.134E+02, 1.211E+02, 7.311E+01, 7.607E+01, 1.123E+02, 1.165E+02, 1.185E+02, 1.148E+02, 7.636E+01, 6.438E+01, 1.084E+02, 1.059E+02, 1.019E+02, 9.922E+01, 8.549E+01, 6.351E+01, 1.018E+02, 1.040E+02, 1.012E+02, 9.939E+01, 8.275E+01, 0.000E+00
 2.280E+02, 7.622E+01, 1.172E+02, 1.204E+02, 1.249E+02, 1.285E+02, 7.417E+01, 7.809E+01, 1.290E+02, 1.284E+02, 1.262E+02, 1.223E+02, 7.572E+01, 6.664E+01, 1.123E+02, 1.064E+02, 1.041E+02, 1.014E+02, 8.323E+01, 6.504E+01, 9.946E+01, 1.018E+02, 1.029E+02, 1.009E+02, 8.755E+01, 0.000E+00
 2.320E+02, 7.803E+01, 1.272E+02, 1.315E+02, 1.321E+02, 1.331E+02, 7.821E+01, 8.078E+01, 1.336E+02, 1.337E+02, 1.317E+02, 1.322E+02, 7.421E+01, 6.834E+01, 1.027E+02, 1.040E+02, 1.042E+02, 1.020E+02, 8.563E+01, 6.665E+01, 1.019E+02, 1.025E+02, 1.032E+02, 1.036E+02, 8.391E+01, 0.000E+00
 2.360E+02, 7.982E+01, 1.234E+02, 1.245E+02, 1.252E+02, 1.312E+02, 7.904E+01, 8.297E+01, 1.276E+02, 1.280E+02, 1.222E+02, 1.264E+02, 7.788E+01, 6.937E+01, 1.022E+02, 1.065E+02, 1.083E+02, 1.037E+02, 8.923E+01, 6.804E+01, 1.035E+02, 1.065E+02, 1.057E+02, 1.036E+02, 8.966E+01, 0.000E+00
 2.400E+02, 8.129E+01, 1.263E+02, 1.255E+02, 1.263E+02, 1.284E+02, 8.030E+01, 8.513E+01, 1.294E+02, 1.313E+02, 1.301E+02, 1.291E+02, 8.465E+01, 7.036E+01, 1.007E+02, 1.013E+02, 1.075E+02, 1.101E+02, 9.266E+01, 6.950E+01, 1.100E+02, 1.107E+02, 1.082E+02, 1.042E+02, 9.061E+01, 0.000E+00
