s,kg/m2,kW
Time,"null","null"
 6.5404344E+002, 2.6344476E+001, 1.4839771E+000
 6.5550196E+002, 2.6331393E+001, 1.4747528E+000
 6.5703328E+002, 2.6318196E+001, 1.4825497E+000
 6.5850327E+002, 2.6304943E+001, 1.4866600E+000
 6.6000072E+002, 2.6291783E+001, 1.5305842E+000
 6.6152075E+002, 2.6278582E+001, 1.5475991E+000
 6.6301494E+002, 2.6265236E+001, 1.5423154E+000
 6.6450328E+002, 2.6252062E+001, 1.5144666E+000
 6.6600189E+002, 2.6238852E+001, 1.5299413E+000
 6.6750766E+002, 2.6225588E+001, 1.5019046E+000
 6.6903670E+002, 2.6212146E+001, 1.4652687E+000
 6.7051776E+002, 2.6198891E+001, 1.5578009E+000
 6.7203531E+002, 2.6185635E+001, 1.4908018E+000
 6.7352051E+002, 2.6172443E+001, 1.5075210E+000
 6.7502013E+002, 2.6159288E+001, 1.5263210E+000
 6.7651375E+002, 2.6146099E+001, 1.4988248E+000
 6.7802303E+002, 2.6132825E+001, 1.5208709E+000
 6.7952103E+002, 2.6119489E+001, 1.4986901E+000
 6.8105635E+002, 2.6106055E+001, 1.5051862E+000
 6.8253108E+002, 2.6092694E+001, 1.5275437E+000
 6.8400403E+002, 2.6079615E+001, 1.5378317E+000
 6.8550987E+002, 2.6066344E+001, 1.5463429E+000
 6.8703384E+002, 2.6052903E+001, 1.5458464E+000
 6.8855164E+002, 2.6039308E+001, 1.5476970E+000
 6.9001932E+002, 2.6025981E+001, 1.5878417E+000
 6.9153965E+002, 2.6012595E+001, 1.5341552E+000
 6.9303319E+002, 2.5999089E+001, 1.5592164E+000
