s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_FUEL VAPOR,MLR_PRODUCTS,MLR_WATER VAPOR
 1.1885262E+001, 2.1055813E+003,-3.0469360E+002,-4.8660803E+002,-2.0463574E+000, 0.0000000E+000, 0.0000000E+000,-4.2172407E+002, 8.7190262E+002, 8.9050920E+002,-6.4031021E-003, 1.6906732E-001, 7.2604213E-003, 4.5947021E-002
 1.2064199E+001, 2.3685841E+003,-3.5339915E+002,-5.7217484E+002,-1.9590865E+000, 0.0000000E+000, 0.0000000E+000,-4.2815442E+002, 9.8885869E+002, 1.0128966E+003,-7.5672834E-003, 1.7813829E-001, 8.5804761E-003, 4.5663542E-002
 1.2244866E+001, 2.6293254E+003,-3.8871779E+002,-8.0516435E+002,-1.8659582E+000, 0.0000000E+000, 0.0000000E+000,-4.2232371E+002, 9.9151277E+002, 1.0112536E+003,-1.1161988E-002, 1.9226613E-001, 1.2656480E-002, 4.4954873E-002
 1.2421629E+001, 2.6872307E+003,-3.5961413E+002,-1.2191656E+003,-2.4697055E+000, 0.0000000E+000, 0.0000000E+000,-4.2596906E+002, 6.5583807E+002, 6.8001215E+002,-1.2793004E-002, 2.0908218E-001, 1.4505875E-002, 4.3547351E-002
 1.2602352E+001, 3.0632686E+003,-4.6540940E+002,-1.3451153E+003,-2.8837931E+000, 0.0000000E+000, 0.0000000E+000,-4.2540555E+002, 7.8794679E+002, 8.2445455E+002,-1.5051249E-002, 2.2407489E-001, 1.7066479E-002, 4.2008146E-002
 1.2782548E+001, 3.3107558E+003,-4.9351008E+002,-1.7757678E+003,-3.5267349E+000, 0.0000000E+000, 0.0000000E+000,-4.1192941E+002, 5.9430016E+002, 6.2602183E+002,-1.8012865E-002, 2.3038339E-001, 2.0424630E-002, 3.9891741E-002
 1.2964399E+001, 3.5217681E+003,-5.2354314E+002,-1.8251569E+003,-2.5448760E+000, 0.0000000E+000, 0.0000000E+000,-4.1605205E+002, 7.0873832E+002, 7.5447112E+002,-2.3628816E-002, 2.4099527E-001, 2.6792507E-002, 3.8126565E-002
 1.3144855E+001, 3.6002398E+003,-5.1672258E+002,-1.8849122E+003,-3.0134012E+000, 0.0000000E+000, 0.0000000E+000,-4.0587169E+002, 7.2621744E+002, 7.8971990E+002,-3.2790170E-002, 2.5357023E-001, 3.7180486E-002, 3.6516777E-002
 1.3322299E+001, 3.9335035E+003,-6.0548648E+002,-2.4336658E+003,-3.7891333E+000, 0.0000000E+000, 0.0000000E+000,-4.0508722E+002, 4.2739420E+002, 4.8547487E+002,-3.4392870E-002, 2.6743752E-001, 3.8997773E-002, 3.4776176E-002
 1.3503519E+001, 4.0292377E+003,-6.1369670E+002,-1.8865264E+003,-3.8872716E+000, 0.0000000E+000, 0.0000000E+000,-3.9004153E+002, 1.0505083E+003, 1.1350858E+003,-3.9859651E-002, 2.7929017E-001, 4.5196508E-002, 3.2976978E-002
 1.3683604E+001, 4.2376696E+003,-6.2883125E+002,-2.5182459E+003,-4.1093435E+000, 0.0000000E+000, 0.0000000E+000,-3.7977414E+002, 6.2588231E+002, 7.0670891E+002,-5.0459918E-002, 2.8808674E-001, 5.7216058E-002, 3.1466943E-002
 1.3861445E+001, 4.2001373E+003,-5.8413165E+002,-2.5612744E+003,-3.1809674E+000, 0.0000000E+000, 0.0000000E+000,-3.7934439E+002, 5.7628848E+002, 6.7220591E+002,-5.1312519E-002, 2.9681474E-001, 5.8182815E-002, 3.0785125E-002
 1.4044441E+001, 4.4819488E+003,-6.7133574E+002,-2.6821170E+003,-4.4500947E+000, 0.0000000E+000, 0.0000000E+000,-3.7388049E+002, 6.6128908E+002, 7.5016553E+002,-5.3248512E-002, 2.9682934E-001, 6.0378020E-002, 3.0485959E-002
 1.4220053E+001, 4.4046637E+003,-6.3137344E+002,-2.7806101E+003,-7.9900691E+000, 0.0000000E+000, 0.0000000E+000,-3.7142846E+002, 5.1931175E+002, 6.1326168E+002,-5.5251537E-002, 2.9432800E-001, 6.2649233E-002, 3.0119996E-002
 1.4401640E+001, 4.5398242E+003,-6.7379928E+002,-2.6963037E+003,-8.9483441E+000, 0.0000000E+000, 0.0000000E+000,-3.7328597E+002, 6.7911231E+002, 7.8748691E+002,-6.1536473E-002, 2.9341480E-001, 6.9775667E-002, 2.9894143E-002
 1.4580808E+001, 4.5883849E+003,-6.6748934E+002,-3.4757908E+003,-6.7549120E+000, 0.0000000E+000, 0.0000000E+000,-3.7556874E+002,-4.6928487E+001, 6.2781196E+001,-6.4448899E-002, 2.9143896E-001, 7.3078040E-002, 3.0121517E-002
 1.4760024E+001, 4.7719890E+003,-7.2374432E+002,-2.6008345E+003,-3.9596196E+000, 0.0000000E+000, 0.0000000E+000,-3.6884351E+002, 9.3926146E+002, 1.0746071E+003,-7.0317788E-002, 2.7867881E-001, 7.9732722E-002, 3.0329486E-002
 1.4944324E+001, 5.1675272E+003,-8.2946835E+002,-2.5959375E+003,-1.9892928E+000, 0.0000000E+000, 0.0000000E+000,-3.0432353E+002, 1.2856189E+003, 1.4358085E+003,-9.1404690E-002, 2.5698655E-001, 1.0364297E-001, 2.9616642E-002
 1.5120806E+001, 4.8582494E+003,-6.8704423E+002,-3.6805325E+003,-1.6229610E+000, 0.0000000E+000, 0.0000000E+000,-2.8601251E+002, 4.2058858E+001, 2.0303721E+002,-1.0249348E-001, 2.3757242E-001, 1.1621646E-001, 2.8705078E-002
 1.5302775E+001, 4.7680077E+003,-6.9201533E+002,-3.7463928E+003,-2.1147702E+000, 0.0000000E+000, 0.0000000E+000,-2.2010791E+002,-1.1501539E+002, 1.0737683E+002,-1.3094531E-001, 2.2366303E-001, 1.4847774E-001, 2.7513457E-002
 1.5482357E+001, 4.3200775E+003,-5.8991115E+002,-3.2435304E+003,-2.9408174E+000, 0.0000000E+000, 0.0000000E+000,-1.7663868E+002, 7.4436637E+001, 3.0705642E+002,-1.4245336E-001, 2.0306029E-001, 1.6152661E-001, 2.5774568E-002
 1.5662836E+001, 3.8522121E+003,-5.1161675E+002,-2.7044192E+003,-2.1549750E+000, 0.0000000E+000, 0.0000000E+000,-1.1152576E+002, 2.5612789E+002, 5.2249547E+002,-1.5855117E-001, 1.8264378E-001, 1.7977978E-001, 2.3879434E-002
 1.5843835E+001, 3.6747979E+003,-4.8509974E+002,-2.8384020E+003,-1.2937475E+000, 0.0000000E+000, 0.0000000E+000,-5.7150823E+001, 1.6469694E+001, 2.9285162E+002,-1.8023024E-001, 1.7443037E-001, 2.0436149E-001, 2.1776540E-002
 1.6022696E+001, 3.0757575E+003,-3.4225217E+002,-3.4418735E+003,-1.6891210E+000, 0.0000000E+000, 0.0000000E+000,-1.1298797E+002,-1.0335408E+003,-8.2304530E+002,-1.2914405E-001, 1.7686545E-001, 1.4643530E-001, 1.9985692E-002
 1.6203953E+001, 3.0237689E+003,-4.1439287E+002,-2.1557281E+003,-1.8465622E+000, 0.0000000E+000, 0.0000000E+000,-1.2405309E+002, 1.2066163E+002, 3.2774827E+002,-1.1822878E-001, 1.8147816E-001, 1.3405857E-001, 1.8639350E-002
 1.6382822E+001, 3.2316220E+003,-4.7506869E+002,-2.1472828E+003,-1.5722843E+000, 0.0000000E+000, 0.0000000E+000,-1.5920441E+002, 2.9513678E+002, 4.4849383E+002,-9.6577409E-002, 1.8753903E-001, 1.0950828E-001, 1.8166506E-002
