s,kg
Time,"Fuel Load"
 1.1578878E+002, 4.8976582E-001
 1.1598243E+002, 4.8976508E-001
 1.1611153E+002, 4.8976447E-001
 1.1630518E+002, 4.8976385E-001
 1.1649882E+002, 4.8976311E-001
 1.1669247E+002, 4.8976238E-001
 1.1682157E+002, 4.8976176E-001
 1.1701522E+002, 4.8976115E-001
 1.1720887E+002, 4.8976042E-001
 1.1740252E+002, 4.8975968E-001
 1.1759617E+002, 4.8975894E-001
 1.1772527E+002, 4.8975833E-001
 1.1791892E+002, 4.8975772E-001
 1.1811257E+002, 4.8975698E-001
 1.1830622E+002, 4.8975625E-001
 1.1849987E+002, 4.8975552E-001
 1.1862897E+002, 4.8975490E-001
 1.1882261E+002, 4.8975429E-001
 1.1901626E+002, 4.8975356E-001
 1.1920991E+002, 4.8975283E-001
 1.1940356E+002, 4.8975209E-001
 1.1953266E+002, 4.8975148E-001
 1.1972631E+002, 4.8975087E-001
 1.1991996E+002, 4.8975014E-001
 1.2011361E+002, 4.8974940E-001
 1.2024271E+002, 4.8974879E-001
 1.2043636E+002, 4.8974818E-001
 1.2063001E+002, 4.8974745E-001
 1.2082366E+002, 4.8974672E-001
 1.2101731E+002, 4.8974599E-001
 1.2114640E+002, 4.8974538E-001
 1.2134005E+002, 4.8974477E-001
 1.2153370E+002, 4.8974404E-001
 1.2172735E+002, 4.8974331E-001
 1.2192100E+002, 4.8974258E-001
 1.2205010E+002, 4.8974197E-001
 1.2224375E+002, 4.8974136E-001
 1.2243740E+002, 4.8974063E-001
 1.2263105E+002, 4.8973990E-001
 1.2276015E+002, 4.8973929E-001
 1.2295380E+002, 4.8973868E-001
 1.2314745E+002, 4.8973795E-001
 1.2334110E+002, 4.8973722E-001
 1.2353474E+002, 4.8973649E-001
 1.2366384E+002, 4.8973589E-001
 1.2385749E+002, 4.8973528E-001
 1.2405114E+002, 4.8973455E-001
 1.2424479E+002, 4.8973382E-001
 1.2443844E+002, 4.8973309E-001
 1.2456754E+002, 4.8973249E-001
 1.2476119E+002, 4.8973188E-001
 1.2495484E+002, 4.8973115E-001
