s,%,%,%,%,%,%,%,m/s,m/s
Time,Sensor #1,Sensor #2,Sensor #3,Sensor #4,Sensor #5,Sensor #6,Sensor #7,TOPD_V,BOTTOMD_V
 6.360E+03, 3.415E+01, 3.465E+01, 3.551E+01, 3.633E+01, 3.736E+01, 3.812E+01, 3.856E+01, 1.999E-01,-1.999E-01
 6.420E+03, 3.409E+01, 3.458E+01, 3.545E+01, 3.625E+01, 3.728E+01, 3.803E+01, 3.847E+01, 1.997E-01,-1.997E-01
 6.480E+03, 3.403E+01, 3.452E+01, 3.538E+01, 3.618E+01, 3.721E+01, 3.795E+01, 3.839E+01, 1.994E-01,-1.994E-01
 6.540E+03, 3.396E+01, 3.445E+01, 3.531E+01, 3.611E+01, 3.713E+01, 3.787E+01, 3.830E+01, 1.992E-01,-1.992E-01
 6.600E+03, 3.390E+01, 3.439E+01, 3.524E+01, 3.604E+01, 3.705E+01, 3.778E+01, 3.821E+01, 1.990E-01,-1.990E-01
 6.660E+03, 3.384E+01, 3.432E+01, 3.517E+01, 3.597E+01, 3.697E+01, 3.770E+01, 3.813E+01, 1.987E-01,-1.987E-01
 6.720E+03, 3.377E+01, 3.426E+01, 3.511E+01, 3.589E+01, 3.689E+01, 3.762E+01, 3.804E+01, 1.985E-01,-1.985E-01
 6.780E+03, 3.371E+01, 3.420E+01, 3.504E+01, 3.582E+01, 3.682E+01, 3.754E+01, 3.796E+01, 1.982E-01,-1.982E-01
 6.840E+03, 3.365E+01, 3.413E+01, 3.497E+01, 3.575E+01, 3.674E+01, 3.746E+01, 3.788E+01, 1.980E-01,-1.980E-01
 6.900E+03, 3.358E+01, 3.407E+01, 3.490E+01, 3.568E+01, 3.666E+01, 3.738E+01, 3.779E+01, 1.978E-01,-1.978E-01
 6.960E+03, 3.352E+01, 3.400E+01, 3.484E+01, 3.561E+01, 3.659E+01, 3.730E+01, 3.771E+01, 1.975E-01,-1.975E-01
 7.020E+03, 3.345E+01, 3.394E+01, 3.477E+01, 3.554E+01, 3.651E+01, 3.722E+01, 3.763E+01, 1.973E-01,-1.973E-01
 7.080E+03, 3.339E+01, 3.387E+01, 3.470E+01, 3.547E+01, 3.644E+01, 3.714E+01, 3.755E+01, 1.971E-01,-1.971E-01
 7.140E+03, 3.333E+01, 3.381E+01, 3.463E+01, 3.540E+01, 3.636E+01, 3.706E+01, 3.747E+01, 1.968E-01,-1.968E-01
 7.200E+03, 3.326E+01, 3.374E+01, 3.457E+01, 3.533E+01, 3.629E+01, 3.698E+01, 3.739E+01, 1.966E-01,-1.966E-01
 7.200E+03, 3.323E+01, 3.371E+01, 3.453E+01, 3.529E+01, 3.625E+01, 3.694E+01, 3.735E+01, 1.967E-01,-1.967E-01
