s,%,%,%,%,%,%,%,m/s,m/s
Time,"Sensor #1","Sensor #2","Sensor #3","Sensor #4","Sensor #5","Sensor #6","Sensor #7","TOPD_V","BOTTOMD_V"
 5.400E+03, 3.302E+01, 3.366E+01, 3.491E+01, 3.615E+01, 3.777E+01, 3.894E+01, 3.962E+01, 1.927E-01,-1.927E-01
 5.460E+03, 3.292E+01, 3.356E+01, 3.481E+01, 3.604E+01, 3.765E+01, 3.881E+01, 3.949E+01, 1.923E-01,-1.923E-01
 5.520E+03, 3.282E+01, 3.346E+01, 3.470E+01, 3.593E+01, 3.752E+01, 3.868E+01, 3.935E+01, 1.922E-01,-1.922E-01
 5.580E+03, 3.272E+01, 3.336E+01, 3.460E+01, 3.582E+01, 3.740E+01, 3.855E+01, 3.921E+01, 1.917E-01,-1.917E-01
 5.640E+03, 3.263E+01, 3.326E+01, 3.449E+01, 3.570E+01, 3.728E+01, 3.842E+01, 3.908E+01, 1.913E-01,-1.913E-01
 5.700E+03, 3.253E+01, 3.316E+01, 3.439E+01, 3.559E+01, 3.716E+01, 3.829E+01, 3.895E+01, 1.910E-01,-1.910E-01
 5.760E+03, 3.243E+01, 3.307E+01, 3.428E+01, 3.548E+01, 3.704E+01, 3.816E+01, 3.882E+01, 1.907E-01,-1.907E-01
 5.820E+03, 3.234E+01, 3.297E+01, 3.418E+01, 3.537E+01, 3.692E+01, 3.803E+01, 3.868E+01, 1.902E-01,-1.902E-01
 5.880E+03, 3.224E+01, 3.287E+01, 3.407E+01, 3.526E+01, 3.680E+01, 3.791E+01, 3.855E+01, 1.899E-01,-1.899E-01
 5.940E+03, 3.214E+01, 3.277E+01, 3.397E+01, 3.515E+01, 3.668E+01, 3.778E+01, 3.843E+01, 1.897E-01,-1.897E-01
 6.000E+03, 3.205E+01, 3.267E+01, 3.387E+01, 3.504E+01, 3.656E+01, 3.766E+01, 3.830E+01, 1.896E-01,-1.896E-01
 6.060E+03, 3.195E+01, 3.257E+01, 3.376E+01, 3.493E+01, 3.644E+01, 3.754E+01, 3.817E+01, 1.887E-01,-1.887E-01
 6.120E+03, 3.185E+01, 3.248E+01, 3.366E+01, 3.482E+01, 3.633E+01, 3.741E+01, 3.805E+01, 1.888E-01,-1.888E-01
