s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_ETHYLENE,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_EHTYLENE,MLR_PILOT FUEL
 5.3001198E+001, 0.0000000E+000, 5.7565973E-004, 3.7003578E-003, 2.1248547E-003, 2.2540561E-003, 0.0000000E+000,-5.0178883E-006,-3.3546385E-003, 8.6499105E-003, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 4.1041648E-001, 0.0000000E+000, 2.1951872E-005
 5.4002296E+001, 0.0000000E+000, 5.5903972E-004, 7.7857408E-003, 2.0652982E-003, 2.1919557E-003, 0.0000000E+000,-3.1658140E-006, 5.3090708E-004, 1.2598869E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 4.1906556E-001, 0.0000000E+000, 2.1951872E-005
 5.5000275E+001, 0.0000000E+000, 5.3992878E-004, 4.4606014E-003, 2.0603089E-003, 2.1297585E-003, 0.0000000E+000,-4.0187218E-006,-3.0295482E-003, 9.1865788E-003, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 4.2770092E-001, 0.0000000E+000, 2.1951872E-005
 5.6001743E+001, 0.0000000E+000, 5.2048470E-004, 5.6007842E-003, 1.9831272E-003, 2.0398879E-003, 0.0000000E+000,-5.3552069E-006,-2.4671197E-003, 1.0138929E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 4.3633831E-001, 0.0000000E+000, 2.1951872E-005
 5.7002007E+001, 0.0000000E+000, 5.0587372E-004, 7.6833089E-003, 1.9251054E-003, 2.0076043E-003, 0.0000000E+000,-2.4405609E-006,-5.1358275E-004, 1.2119452E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 4.4498715E-001, 0.0000000E+000, 2.1951872E-005
 5.8000191E+001, 0.0000000E+000, 4.9182872E-004, 5.8290527E-003, 1.9093622E-003, 2.0035347E-003, 0.0000000E+000,-7.7692617E-006,-2.6781785E-003, 1.0226009E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 4.5361959E-001, 0.0000000E+000, 2.1951872E-005
 5.9000206E+001, 0.0000000E+000, 4.7769557E-004, 9.0422005E-003, 1.8381057E-003, 1.8902267E-003, 0.0000000E+000,-6.0393359E-006, 1.2286117E-004, 1.3242189E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 4.6225060E-001, 0.0000000E+000, 2.1951872E-005
 6.0001945E+001, 0.0000000E+000, 4.6376685E-004, 1.0076958E-002, 1.8301797E-003, 1.8474463E-003, 0.0000000E+000,-7.4173939E-006, 1.0529662E-003, 1.4210933E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 4.7089869E-001, 0.0000000E+000, 2.1951872E-005
 6.1000454E+001, 0.0000000E+000, 4.5062972E-004, 5.7550444E-003, 1.8060302E-003, 1.8642608E-003, 0.0000000E+000,-5.9079732E-006,-3.4585378E-003, 9.8700570E-003, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 4.7953988E-001, 0.0000000E+000, 2.1951872E-005
 6.2000687E+001, 0.0000000E+000, 4.3817948E-004, 1.0158570E-002, 1.7601362E-003, 1.7588038E-003, 0.0000000E+000,-7.0096946E-006, 6.0842864E-004, 1.4108680E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 4.8817435E-001, 0.0000000E+000, 2.1951872E-005
 6.3000740E+001, 0.0000000E+000, 4.2726401E-004, 9.4240552E-003, 1.7761253E-003, 1.8168343E-003, 0.0000000E+000,-4.4056305E-006,-4.1327653E-004, 1.3439873E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 4.9681464E-001, 0.0000000E+000, 2.1951872E-005
 6.4001083E+001, 0.0000000E+000, 4.1599027E-004, 7.4111394E-003, 1.7426151E-003, 1.8017234E-003, 0.0000000E+000,-5.5645570E-006,-2.4381361E-003, 1.1365904E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 5.0545655E-001, 0.0000000E+000, 2.1951872E-005
 6.5000000E+001, 0.0000000E+000, 4.0545844E-004, 8.3563720E-003, 1.6321147E-003, 1.6841268E-003, 0.0000000E+000,-1.0836447E-005,-2.0667952E-003, 1.2067235E-002, 3.2112000E-001, 0.0000000E+000, 1.7712115E-004, 0.0000000E+000, 0.0000000E+000, 5.1409424E-001, 0.0000000E+000, 2.1951872E-005
