s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 8.800E+02, 7.217E+02,-2.173E+02,-4.855E+02, 6.808E+00, 0.000E+00, 0.000E+00,-8.494E+00, 1.692E+01, 1.723E+01, 0.000E+00, 1.975E-02, 0.000E+00, 0.000E+00
 8.900E+02, 7.294E+02,-2.155E+02,-5.094E+02, 6.967E+00, 0.000E+00, 0.000E+00,-8.402E+00, 2.761E+00, 3.023E+00, 0.000E+00, 1.989E-02, 0.000E+00, 0.000E+00
 9.000E+02, 7.797E+02,-2.314E+02,-5.326E+02, 7.549E+00, 0.000E+00, 0.000E+00,-8.679E+00, 1.412E+01, 1.460E+01, 0.000E+00, 2.013E-02, 0.000E+00, 0.000E+00
 9.100E+02, 7.934E+02,-2.280E+02,-5.600E+02, 7.007E+00, 0.000E+00, 0.000E+00,-8.701E+00, 3.989E+00, 3.764E+00, 0.000E+00, 2.015E-02, 0.000E+00, 0.000E+00
 9.200E+02, 8.328E+02,-2.449E+02,-5.650E+02, 7.273E+00, 0.000E+00, 0.000E+00,-8.960E+00, 2.104E+01, 2.111E+01, 0.000E+00, 2.054E-02, 0.000E+00, 0.000E+00
 9.300E+02, 8.529E+02,-2.492E+02,-6.119E+02, 8.230E+00, 0.000E+00, 0.000E+00,-8.724E+00,-9.605E+00,-8.725E+00, 0.000E+00, 2.059E-02, 0.000E+00, 0.000E+00
 9.400E+02, 8.921E+02,-2.643E+02,-6.221E+02, 7.941E+00, 0.000E+00, 0.000E+00,-8.587E+00, 4.972E+00, 5.170E+00, 0.000E+00, 2.090E-02, 0.000E+00, 0.000E+00
 9.500E+02, 8.750E+02,-2.639E+02,-6.184E+02, 8.646E+00, 0.000E+00, 0.000E+00,-8.483E+00,-8.153E+00,-7.080E+00, 0.000E+00, 2.078E-02, 0.000E+00, 0.000E+00
 9.600E+02, 7.841E+02,-2.252E+02,-5.519E+02, 7.858E+00, 0.000E+00, 0.000E+00,-8.676E+00, 7.164E+00, 6.100E+00, 0.000E+00, 2.101E-02, 0.000E+00, 0.000E+00
 9.700E+02, 7.770E+02,-2.292E+02,-5.369E+02, 8.434E+00, 0.000E+00, 0.000E+00,-8.858E+00, 1.067E+01, 1.040E+01, 0.000E+00, 2.149E-02, 0.000E+00, 0.000E+00
 9.800E+02, 8.202E+02,-2.337E+02,-5.910E+02, 8.125E+00, 0.000E+00, 0.000E+00,-8.960E+00,-4.829E+00,-5.270E+00, 0.000E+00, 2.158E-02, 0.000E+00, 0.000E+00
 9.900E+02, 8.308E+02,-2.338E+02,-5.725E+02, 7.970E+00, 0.000E+00, 0.000E+00,-8.988E+00, 2.296E+01, 2.353E+01, 0.000E+00, 2.163E-02, 0.000E+00, 0.000E+00
 1.000E+03, 8.365E+02,-2.395E+02,-5.977E+02, 8.322E+00, 0.000E+00, 0.000E+00,-9.309E+00,-2.567E+00,-1.738E+00, 0.000E+00, 2.161E-02, 0.000E+00, 0.000E+00
 1.010E+03, 8.414E+02,-2.409E+02,-5.951E+02, 8.902E+00, 0.000E+00, 0.000E+00,-9.255E+00, 4.382E+00, 4.962E+00, 0.000E+00, 2.195E-02, 0.000E+00, 0.000E+00
 1.020E+03, 8.792E+02,-2.464E+02,-6.130E+02, 8.074E+00, 0.000E+00, 0.000E+00,-9.257E+00, 1.771E+01, 1.867E+01, 0.000E+00, 2.213E-02, 0.000E+00, 0.000E+00
 1.030E+03, 9.139E+02,-2.549E+02,-6.636E+02, 8.111E+00, 0.000E+00, 0.000E+00,-9.666E+00,-7.012E+00,-6.169E+00, 0.000E+00, 2.237E-02, 0.000E+00, 0.000E+00
 1.040E+03, 8.826E+02,-2.513E+02,-6.261E+02, 8.900E+00, 0.000E+00, 0.000E+00,-9.992E+00, 5.078E+00, 4.171E+00, 0.000E+00, 2.267E-02, 0.000E+00, 0.000E+00
 1.050E+03, 8.968E+02,-2.442E+02,-6.423E+02, 8.071E+00, 0.000E+00, 0.000E+00,-9.923E+00, 8.094E+00, 8.444E+00, 0.000E+00, 2.263E-02, 0.000E+00, 0.000E+00
 1.060E+03, 8.795E+02,-2.395E+02,-6.280E+02, 8.734E+00, 0.000E+00, 0.000E+00,-9.877E+00, 1.114E+01, 1.081E+01, 0.000E+00, 2.301E-02, 0.000E+00, 0.000E+00
 1.070E+03, 8.635E+02,-2.363E+02,-6.294E+02, 9.224E+00, 0.000E+00, 0.000E+00,-1.004E+01,-3.499E+00,-3.107E+00, 0.000E+00, 2.335E-02, 0.000E+00, 0.000E+00
 1.080E+03, 8.594E+02,-2.352E+02,-6.112E+02, 7.762E+00, 0.000E+00, 0.000E+00,-9.924E+00, 1.059E+01, 1.085E+01, 0.000E+00, 2.341E-02, 0.000E+00, 0.000E+00
 1.090E+03, 8.927E+02,-2.445E+02,-6.354E+02, 8.452E+00, 0.000E+00, 0.000E+00,-9.987E+00, 1.109E+01, 1.125E+01, 0.000E+00, 2.369E-02, 0.000E+00, 0.000E+00
 1.100E+03, 8.652E+02,-2.308E+02,-6.340E+02, 9.161E+00, 0.000E+00, 0.000E+00,-9.919E+00, 5.020E-02,-3.633E-01, 0.000E+00, 2.362E-02, 0.000E+00, 0.000E+00
 1.110E+03, 9.700E+02,-2.661E+02,-6.838E+02, 8.707E+00, 0.000E+00, 0.000E+00,-9.925E+00, 1.810E+01, 1.887E+01, 0.000E+00, 2.374E-02, 0.000E+00, 0.000E+00
 1.120E+03, 9.668E+02,-2.633E+02,-6.986E+02, 8.816E+00, 0.000E+00, 0.000E+00,-1.036E+01, 2.924E+00, 3.367E+00, 0.000E+00, 2.426E-02, 0.000E+00, 0.000E+00
