s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_TOLUENE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 6.200E+02, 1.340E+03, 0.000E+00,-4.286E+02,-9.138E+02, 1.910E+01, 0.000E+00, 0.000E+00,-1.704E+01,-4.028E-01,-7.643E-01, 0.000E+00, 3.467E-02, 0.000E+00, 0.000E+00
 6.300E+02, 1.376E+03, 0.000E+00,-4.410E+02,-9.210E+02, 1.790E+01, 0.000E+00, 0.000E+00,-1.707E+01, 1.504E+01, 1.531E+01, 0.000E+00, 3.475E-02, 0.000E+00, 0.000E+00
 6.400E+02, 1.383E+03, 0.000E+00,-4.383E+02,-9.457E+02, 1.947E+01, 0.000E+00, 0.000E+00,-1.694E+01, 1.457E+00, 1.367E+00, 0.000E+00, 3.463E-02, 0.000E+00, 0.000E+00
 6.500E+02, 1.375E+03, 0.000E+00,-4.397E+02,-9.289E+02, 1.847E+01, 0.000E+00, 0.000E+00,-1.689E+01, 8.184E+00, 8.131E+00, 0.000E+00, 3.442E-02, 0.000E+00, 0.000E+00
 6.600E+02, 1.496E+03, 0.000E+00,-4.746E+02,-1.035E+03, 1.824E+01, 0.000E+00, 0.000E+00,-1.690E+01,-1.204E+01,-1.247E+01, 0.000E+00, 3.422E-02, 0.000E+00, 0.000E+00
 6.700E+02, 1.450E+03, 0.000E+00,-4.672E+02,-9.813E+02, 1.960E+01, 0.000E+00, 0.000E+00,-1.675E+01, 4.610E+00, 4.796E+00, 0.000E+00, 3.424E-02, 0.000E+00, 0.000E+00
 6.800E+02, 1.382E+03, 0.000E+00,-4.375E+02,-9.479E+02, 1.950E+01, 0.000E+00, 0.000E+00,-1.691E+01,-5.696E-01,-1.281E+00, 0.000E+00, 3.463E-02, 0.000E+00, 0.000E+00
 6.900E+02, 1.409E+03, 0.000E+00,-4.449E+02,-9.675E+02, 1.865E+01, 0.000E+00, 0.000E+00,-1.703E+01,-1.510E+00,-1.605E+00, 0.000E+00, 3.472E-02, 0.000E+00, 0.000E+00
 7.000E+02, 1.421E+03, 0.000E+00,-4.510E+02,-9.604E+02, 2.006E+01, 0.000E+00, 0.000E+00,-1.687E+01, 1.202E+01, 1.266E+01, 0.000E+00, 3.436E-02, 0.000E+00, 0.000E+00
 7.100E+02, 1.406E+03, 0.000E+00,-4.451E+02,-9.593E+02, 2.026E+01, 0.000E+00, 0.000E+00,-1.686E+01, 4.826E+00, 5.398E+00, 0.000E+00, 3.432E-02, 0.000E+00, 0.000E+00
 7.200E+02, 1.344E+03, 0.000E+00,-4.317E+02,-9.184E+02, 1.922E+01, 0.000E+00, 0.000E+00,-1.729E+01,-4.054E+00,-3.833E+00, 0.000E+00, 3.528E-02, 0.000E+00, 0.000E+00
 7.300E+02, 1.383E+03, 0.000E+00,-4.184E+02,-9.506E+02, 2.029E+01, 0.000E+00, 0.000E+00,-1.970E+01, 1.454E+01, 1.443E+01, 0.000E+00, 4.004E-02, 0.000E+00, 0.000E+00
 7.400E+02, 1.345E+03, 0.000E+00,-4.000E+02,-9.251E+02, 2.079E+01, 0.000E+00, 0.000E+00,-2.272E+01, 1.730E+01, 1.747E+01, 0.000E+00, 4.560E-02, 0.000E+00, 0.000E+00
 7.500E+02, 1.486E+03, 0.000E+00,-4.267E+02,-1.017E+03, 2.023E+01, 0.000E+00, 0.000E+00,-2.601E+01, 3.746E+01, 3.709E+01, 0.000E+00, 5.172E-02, 0.000E+00, 0.000E+00
 7.600E+02, 1.519E+03, 0.000E+00,-4.151E+02,-1.075E+03, 2.020E+01, 0.000E+00, 0.000E+00,-2.835E+01, 2.053E+01, 2.084E+01, 0.000E+00, 5.632E-02, 0.000E+00, 0.000E+00
 7.700E+02, 1.656E+03, 0.000E+00,-4.533E+02,-1.139E+03, 2.094E+01, 0.000E+00, 0.000E+00,-2.902E+01, 5.478E+01, 5.529E+01, 0.000E+00, 5.764E-02, 0.000E+00, 0.000E+00
 7.800E+02, 1.741E+03, 0.000E+00,-4.696E+02,-1.234E+03, 2.182E+01, 0.000E+00, 0.000E+00,-2.902E+01, 2.986E+01, 3.030E+01, 0.000E+00, 5.755E-02, 0.000E+00, 0.000E+00
 7.900E+02, 1.833E+03, 0.000E+00,-4.950E+02,-1.307E+03, 2.123E+01, 0.000E+00, 0.000E+00,-2.905E+01, 2.351E+01, 2.334E+01, 0.000E+00, 5.749E-02, 0.000E+00, 0.000E+00
 8.000E+02, 1.979E+03, 0.000E+00,-5.430E+02,-1.427E+03, 1.958E+01, 0.000E+00, 0.000E+00,-2.905E+01,-1.340E-01,-3.073E-01, 0.000E+00, 5.733E-02, 0.000E+00, 0.000E+00
 8.100E+02, 1.909E+03, 0.000E+00,-5.218E+02,-1.374E+03, 2.131E+01, 0.000E+00, 0.000E+00,-2.895E+01, 6.215E+00, 6.316E+00, 0.000E+00, 5.737E-02, 0.000E+00, 0.000E+00
 8.200E+02, 2.009E+03, 0.000E+00,-5.509E+02,-1.424E+03, 2.119E+01, 0.000E+00, 0.000E+00,-2.899E+01, 2.553E+01, 2.643E+01, 0.000E+00, 5.727E-02, 0.000E+00, 0.000E+00
