s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPYLENE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 9.700E+02, 8.660E+02, 0.000E+00,-5.013E+02,-3.512E+02, 1.050E+01, 4.238E-01, 0.000E+00, 0.000E+00, 2.506E+01, 2.451E+01, 0.000E+00, 2.186E-02, 0.000E+00, 0.000E+00
 9.800E+02, 8.574E+02, 0.000E+00,-4.503E+02,-4.069E+02, 1.123E+01, 3.998E-01, 0.000E+00, 0.000E+00, 1.206E+01, 1.181E+01, 0.000E+00, 2.259E-02, 0.000E+00, 0.000E+00
 9.900E+02, 9.213E+02, 0.000E+00,-4.746E+02,-4.475E+02, 9.489E+00, 3.813E-01, 0.000E+00, 0.000E+00, 1.001E+01, 9.112E+00, 0.000E+00, 2.331E-02, 0.000E+00, 0.000E+00
 1.000E+03, 8.647E+02, 0.000E+00,-4.256E+02,-4.486E+02, 1.075E+01, 3.706E-01, 0.000E+00, 0.000E+00, 2.137E+00, 1.573E+00, 0.000E+00, 2.404E-02, 0.000E+00, 0.000E+00
 1.010E+03, 9.072E+02, 0.000E+00,-4.225E+02,-4.805E+02, 1.138E+01, 3.148E-01, 0.000E+00, 0.000E+00, 1.657E+01, 1.595E+01, 0.000E+00, 2.477E-02, 0.000E+00, 0.000E+00
 1.020E+03, 8.740E+02, 0.000E+00,-4.023E+02,-4.794E+02, 1.216E+01, 3.150E-01, 0.000E+00, 0.000E+00, 5.723E+00, 4.740E+00, 0.000E+00, 2.517E-02, 0.000E+00, 0.000E+00
 1.030E+03, 9.780E+02, 0.000E+00,-4.301E+02,-5.388E+02, 1.083E+01, 3.466E-01, 0.000E+00, 0.000E+00, 2.086E+01, 2.024E+01, 0.000E+00, 2.526E-02, 0.000E+00, 0.000E+00
 1.040E+03, 9.415E+02, 0.000E+00,-4.090E+02,-5.486E+02, 1.231E+01, 3.107E-01, 0.000E+00, 0.000E+00,-2.598E+00,-3.422E+00, 0.000E+00, 2.536E-02, 0.000E+00, 0.000E+00
 1.050E+03, 9.558E+02, 0.000E+00,-4.076E+02,-5.504E+02, 1.358E+01, 3.056E-01, 0.000E+00, 0.000E+00, 1.258E+01, 1.166E+01, 0.000E+00, 2.545E-02, 0.000E+00, 0.000E+00
 1.060E+03, 9.724E+02, 0.000E+00,-4.055E+02,-5.651E+02, 1.403E+01, 3.226E-01, 0.000E+00, 0.000E+00, 1.683E+01, 1.606E+01, 0.000E+00, 2.554E-02, 0.000E+00, 0.000E+00
 1.070E+03, 1.135E+03, 0.000E+00,-4.498E+02,-6.925E+02, 1.185E+01, 3.461E-01, 0.000E+00, 0.000E+00, 7.136E+00, 5.269E+00, 0.000E+00, 2.563E-02, 0.000E+00, 0.000E+00
 1.080E+03, 1.219E+03, 0.000E+00,-4.543E+02,-7.870E+02, 1.258E+01, 3.484E-01, 0.000E+00, 0.000E+00,-8.011E+00,-9.092E+00, 0.000E+00, 2.572E-02, 0.000E+00, 0.000E+00
