s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ISOPROPANOL,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 6.700E+02, 7.893E+02,-3.826E+02,-4.419E+02, 2.275E+01, 3.933E-01, 0.000E+00, 0.000E+00,-1.123E+01,-1.205E+01, 0.000E+00, 2.207E-02, 0.000E+00, 0.000E+00
 6.800E+02, 6.655E+02,-3.011E+02,-4.263E+02, 2.456E+01, 3.675E-01, 0.000E+00, 0.000E+00,-3.639E+01,-3.694E+01, 0.000E+00, 1.655E-02, 0.000E+00, 0.000E+00
 6.900E+02, 4.648E+02,-1.715E+02,-3.713E+02, 2.660E+01, 2.922E-01, 0.000E+00, 0.000E+00,-5.063E+01,-5.109E+01, 0.000E+00, 1.103E-02, 0.000E+00, 0.000E+00
 7.000E+02, 2.172E+02,-3.286E+00,-3.189E+02, 2.900E+01, 1.788E-01, 0.000E+00, 0.000E+00,-7.527E+01,-7.580E+01, 0.000E+00, 5.513E-03, 0.000E+00, 0.000E+00
 7.100E+02, 2.562E+01, 1.377E+02,-2.705E+02, 3.532E+01, 2.721E-02, 0.000E+00, 0.000E+00,-7.170E+01,-7.181E+01, 0.000E+00, 6.868E-04, 0.000E+00, 0.000E+00
 7.200E+02, 0.000E+00, 1.587E+02,-2.610E+02, 3.864E+01, 3.297E-17, 0.000E+00, 0.000E+00,-6.353E+01,-6.368E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 7.300E+02, 0.000E+00, 1.465E+02,-2.417E+02, 4.186E+01, 2.735E-17, 0.000E+00, 0.000E+00,-5.295E+01,-5.336E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 7.400E+02, 0.000E+00, 1.269E+02,-2.220E+02, 4.698E+01, 2.610E-17, 0.000E+00, 0.000E+00,-4.773E+01,-4.816E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 7.500E+02, 0.000E+00, 1.112E+02,-2.036E+02, 5.075E+01, 2.001E-17, 0.000E+00, 0.000E+00,-4.128E+01,-4.163E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 7.600E+02, 0.000E+00, 9.966E+01,-1.865E+02, 5.341E+01, 2.086E-17, 0.000E+00, 0.000E+00,-3.335E+01,-3.340E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 7.700E+02, 0.000E+00, 9.102E+01,-1.821E+02, 5.479E+01, 1.794E-17, 0.000E+00, 0.000E+00,-3.597E+01,-3.633E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 7.800E+02, 0.000E+00, 8.468E+01,-1.748E+02, 5.643E+01, 2.053E-17, 0.000E+00, 0.000E+00,-3.349E+01,-3.369E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
