s,m/s,
Time,Ub,FORCE X
 3.1700687E+000, 6.0595489E+000,-1.6152401E-002
 3.1800486E+000, 6.0081103E+000,-2.3408193E-002
 3.1900982E+000, 5.9750688E+000,-2.0677440E-002
 3.2001136E+000, 5.9860495E+000,-2.1194264E-002
 3.2100362E+000, 6.0109364E+000,-1.6716615E-002
 3.2200617E+000, 6.0125007E+000,-1.9585794E-002
 3.2300074E+000, 6.0003185E+000,-1.7229488E-002
 3.2400251E+000, 6.0812827E+000,-5.8500179E-003
 3.2500703E+000, 6.2498547E+000, 1.3538528E-002
 3.2600020E+000, 6.3508424E+000, 1.5873712E-002
 3.2701005E+000, 6.4169899E+000, 2.5927149E-002
 3.2800605E+000, 6.4737580E+000, 2.9528252E-002
 3.2900205E+000, 6.4824239E+000, 2.3374797E-002
 3.3000856E+000, 6.3648069E+000, 1.2499274E-002
 3.3100867E+000, 6.2408678E+000,-4.3627331E-003
 3.3200399E+000, 6.1039127E+000,-1.4029863E-002
 3.3300723E+000, 6.0763817E+000,-1.1212164E-002
 3.3400102E+000, 5.9919161E+000,-3.1507141E-002
 3.3500428E+000, 5.8698160E+000,-3.3662244E-002
 3.3600614E+000, 5.7994545E+000,-4.4874203E-002
 3.3700298E+000, 5.7585736E+000,-4.2766010E-002
 3.3801157E+000, 5.7966773E+000,-3.5816753E-002
 3.3900477E+000, 5.9542426E+000,-1.0428190E-002
 3.4000335E+000, 6.2194030E+000, 7.9521017E-003
 3.4100488E+000, 6.2897564E+000, 1.3187808E-002
 3.4200797E+000, 6.4132594E+000, 3.0368663E-002
 3.4300428E+000, 6.6347890E+000, 5.4291701E-002
 3.4400238E+000, 6.7381233E+000, 4.8949168E-002
 3.4500492E+000, 6.6370574E+000, 3.8876021E-002
 3.4600501E+000, 6.4907016E+000, 2.1004656E-002
 3.4700059E+000, 6.3101092E+000,-1.0478781E-003
 3.4800904E+000, 6.0970398E+000,-1.7759995E-002
 3.4901115E+000, 6.0510992E+000,-1.2308940E-002
 3.5000750E+000, 6.0457088E+000,-2.1051804E-002
 3.5100755E+000, 5.9366508E+000,-2.7633109E-002
 3.5200233E+000, 5.9369200E+000,-1.9289570E-002
 3.5300228E+000, 6.0793468E+000,-6.3060333E-003
 3.5400805E+000, 6.1915782E+000, 4.1858575E-003
 3.5500834E+000, 6.2490734E+000,-2.7715680E-004
 3.5600856E+000, 6.1512702E+000,-1.2394835E-003
 3.5700342E+000, 6.2716651E+000, 1.2401123E-002
 3.5800183E+000, 6.2716177E+000, 1.9217323E-003
 3.5900737E+000, 6.2094948E+000, 1.5375574E-003
 3.6000703E+000, 6.2180190E+000, 2.6314809E-003
 3.6100237E+000, 6.2419261E+000, 3.9320677E-004
 3.6200336E+000, 6.1109184E+000,-1.2745507E-002
 3.6300109E+000, 6.1254725E+000,-4.7186411E-003
 3.6401087E+000, 6.1865194E+000, 2.5795846E-003
 3.6500598E+000, 6.2076476E+000,-1.4118488E-004
 3.6601042E+000, 6.2564735E+000, 1.2649052E-002
 3.6701291E+000, 6.4367108E+000, 3.4778598E-002
 3.6800987E+000, 6.5623628E+000, 3.1791727E-002
 3.6900943E+000, 6.4268269E+000, 1.4550892E-002
 3.7000543E+000, 6.2847050E+000, 2.5171102E-003
 3.7100190E+000, 6.2063553E+000, 2.3651767E-004
 3.7200405E+000, 6.1738632E+000,-2.5845426E-003
 3.7300727E+000, 6.2192086E+000, 4.1329864E-003
 3.7401286E+000, 6.2268307E+000,-3.3287019E-004
 3.7500347E+000, 6.1834150E+000, 1.9765215E-003
 3.7600196E+000, 6.2514762E+000, 5.7308291E-003
 3.7700410E+000, 6.2529389E+000, 7.6059734E-003
 3.7800400E+000, 6.3020533E+000, 1.3568059E-002
 3.7900069E+000, 6.3481124E+000, 1.4382945E-002
 3.8000028E+000, 6.2696731E+000,-1.1754013E-003
 3.8100956E+000, 6.1511154E+000,-7.7923696E-003
 3.8200012E+000, 6.1050086E+000,-1.2092325E-002
 3.8300380E+000, 6.0616844E+000,-1.6158115E-002
 3.8400692E+000, 6.0445240E+000,-1.4443036E-002
 3.8500465E+000, 6.0469916E+000,-1.4743020E-002
 3.8600273E+000, 6.0666018E+000,-1.1563954E-002
 3.8700338E+000, 6.1023561E+000,-9.3361496E-003
 3.8800042E+000, 6.1158719E+000,-7.7445241E-003
 3.8900107E+000, 6.1381359E+000,-3.3382818E-003
 3.9000656E+000, 6.1714292E+000,-4.5145060E-003
 3.9101245E+000, 6.1803394E+000, 3.1503718E-003
 3.9200644E+000, 6.2673827E+000, 9.1799367E-003
 3.9301261E+000, 6.3331952E+000, 1.8609021E-002
 3.9400898E+000, 6.4255668E+000, 2.5746792E-002
 3.9500896E+000, 6.4896123E+000, 3.0204264E-002
 3.9600824E+000, 6.4926510E+000, 2.7248382E-002
 3.9700755E+000, 6.4551933E+000, 2.5877459E-002
 3.9800116E+000, 6.4105169E+000, 1.2643836E-002
 3.9900433E+000, 6.2343446E+000,-6.0183940E-003
 4.0000326E+000, 6.0285766E+000,-2.4149387E-002
 4.0100966E+000, 5.9098827E+000,-3.3998261E-002
 4.0200927E+000, 5.8564867E+000,-3.1511971E-002
 4.0300746E+000, 5.8282666E+000,-4.4856130E-002
 4.0401169E+000, 5.6983529E+000,-5.4185415E-002
 4.0500963E+000, 5.6830792E+000,-4.6900884E-002
 4.0601048E+000, 5.7698167E+000,-3.8136818E-002
 4.0700372E+000, 5.8328696E+000,-3.4598801E-002
 4.0800010E+000, 5.8935898E+000,-2.4484224E-002
 4.0900357E+000, 6.1398711E+000, 1.5642135E-002
 4.1000786E+000, 6.5560930E+000, 5.0321179E-002
 4.1100547E+000, 6.8061156E+000, 6.7527056E-002
 4.1200747E+000, 6.9127618E+000, 7.4823310E-002
 4.1300947E+000, 6.9405934E+000, 7.0935858E-002
 4.1400141E+000, 6.7751462E+000, 4.5678843E-002
 4.1500452E+000, 6.5701240E+000, 3.0044372E-002
 4.1600545E+000, 6.4178184E+000, 1.4134293E-002
 4.1700717E+000, 6.2847838E+000,-9.7469869E-004
 4.1800379E+000, 6.0157827E+000,-3.5311236E-002
 4.1900064E+000, 5.7151210E+000,-5.5737047E-002
 4.2000378E+000, 5.6321853E+000,-5.6200616E-002
 4.2100906E+000, 5.6518798E+000,-5.2028690E-002
 4.2200207E+000, 5.7181894E+000,-4.3610320E-002
 4.2300856E+000, 5.8349510E+000,-3.1063519E-002
 4.2400484E+000, 5.9407512E+000,-2.3272221E-002
 4.2500284E+000, 6.0163316E+000,-1.2228418E-002
 4.2600485E+000, 6.1139117E+000,-8.6408421E-003
