s,kW/m2,s,kW/m2,kW/m2,s,kW/m2,kW/m2,s,kW/m2,m,s,m,m
Time,"rad40","rad40_tmax","rad40_max","rad70","rad70_tmax","rad70_max","rad100","rad100_tmax","rad100_max","D_avg","D_tmax","D_max","Height"
 6.9037747E+000, 2.9346338E+000, 7.2101148E-001, 2.2279039E+002, 4.2189376E+000, 8.8703159E-001, 6.6803781E+001, 3.9538429E+000, 8.8703159E-001, 3.2190660E+001, 2.5148647E+001, 4.3315381E+000, 4.7950679E+001, 1.1645508E+002
 7.0007019E+000, 2.7893855E+000, 7.2101148E-001, 2.2279039E+002, 4.0078969E+000, 8.8703159E-001, 6.6803781E+001, 3.7177367E+000, 8.8703159E-001, 3.2190660E+001, 2.6090676E+001, 4.3315381E+000, 4.7950679E+001, 1.1743728E+002
 7.1114759E+000, 2.6371428E+000, 7.2101148E-001, 2.2279039E+002, 3.8340274E+000, 8.8703159E-001, 6.6803781E+001, 3.6110521E+000, 8.8703159E-001, 3.2190660E+001, 2.9630371E+001, 4.3315381E+000, 4.7950679E+001, 1.1855542E+002
 7.2084032E+000, 2.4971511E+000, 7.2101148E-001, 2.2279039E+002, 3.6197174E+000, 8.8703159E-001, 6.6803781E+001, 3.3755194E+000, 8.8703159E-001, 3.2190660E+001, 2.9119870E+001, 4.3315381E+000, 4.7950679E+001, 1.1972569E+002
 7.3053304E+000, 2.3718158E+000, 7.2101148E-001, 2.2279039E+002, 3.4638792E+000, 8.8703159E-001, 6.6803781E+001, 3.2774088E+000, 8.8703159E-001, 3.2190660E+001, 2.9952027E+001, 4.3315381E+000, 4.7950679E+001, 1.2084149E+002
 7.4022576E+000, 2.2389047E+000, 7.2101148E-001, 2.2279039E+002, 3.2852689E+000, 8.8703159E-001, 6.6803781E+001, 3.0992600E+000, 8.8703159E-001, 3.2190660E+001, 3.0837698E+001, 4.3315381E+000, 4.7950679E+001, 1.2199296E+002
 7.5067368E+000, 2.1192997E+000, 7.2101148E-001, 2.2279039E+002, 3.1423488E+000, 8.8703159E-001, 6.6803781E+001, 2.9849934E+000, 8.8703159E-001, 3.2190660E+001, 2.9200569E+001, 4.3315381E+000, 4.7950679E+001, 1.2305979E+002
 7.6049210E+000, 1.9749059E+000, 7.2101148E-001, 2.2279039E+002, 2.9671730E+000, 8.8703159E-001, 6.6803781E+001, 2.8445752E+000, 8.8703159E-001, 3.2190660E+001, 2.8185661E+001, 4.3315381E+000, 4.7950679E+001, 1.2407367E+002
 7.7031052E+000, 1.8617688E+000, 7.2101148E-001, 2.2279039E+002, 2.8286882E+000, 8.8703159E-001, 6.6803781E+001, 2.7476321E+000, 8.8703159E-001, 3.2190660E+001, 2.8931373E+001, 4.3315381E+000, 4.7950679E+001, 1.2513443E+002
 7.8012894E+000, 1.7519412E+000, 7.2101148E-001, 2.2279039E+002, 2.6532714E+000, 8.8703159E-001, 6.6803781E+001, 2.6027737E+000, 8.8703159E-001, 3.2190660E+001, 2.9924217E+001, 4.3315381E+000, 4.7950679E+001, 1.2626714E+002
