s,kW,kW
Time,qdot1,qdot2
 2.3225630E+002, 1.4780040E+000, 1.0860796E+001
 2.3320299E+002, 1.4780504E+000, 1.0863377E+001
 2.3414969E+002, 1.4780973E+000, 1.0867433E+001
 2.3509639E+002, 1.4781446E+000, 1.0872694E+001
 2.3604308E+002, 1.4781929E+000, 1.0878856E+001
 2.3730535E+002, 1.4782504E+000, 1.0886798E+001
 2.3825204E+002, 1.4783085E+000, 1.0894906E+001
 2.3919874E+002, 1.4783589E+000, 1.0901515E+001
 2.4014544E+002, 1.4784100E+000, 1.0907541E+001
 2.4109213E+002, 1.4784616E+000, 1.0912853E+001
 2.4203883E+002, 1.4785127E+000, 1.0917508E+001
 2.4330109E+002, 1.4785722E+000, 1.0922238E+001
 2.4424779E+002, 1.4786322E+000, 1.0926138E+001
 2.4519449E+002, 1.4786835E+000, 1.0928350E+001
 2.4614118E+002, 1.4787347E+000, 1.0929055E+001
 2.4708788E+002, 1.4787852E+000, 1.0928027E+001
 2.4803458E+002, 1.4788341E+000, 1.0925428E+001
 2.4929684E+002, 1.4788887E+000, 1.0921032E+001
 2.5024354E+002, 1.4789410E+000, 1.0916152E+001
 2.5119023E+002, 1.4789843E+000, 1.0911921E+001
 2.5213693E+002, 1.4790267E+000, 1.0907557E+001
 2.5308363E+002, 1.4790685E+000, 1.0902939E+001
 2.5403033E+002, 1.4791088E+000, 1.0897997E+001
 2.5529259E+002, 1.4791529E+000, 1.0892020E+001
 2.5623928E+002, 1.4791948E+000, 1.0886395E+001
 2.5718598E+002, 1.4792294E+000, 1.0882197E+001
 2.5813268E+002, 1.4792635E+000, 1.0878627E+001
 2.5907938E+002, 1.4792972E+000, 1.0875600E+001
 2.6002607E+002, 1.4793300E+000, 1.0873156E+001
 2.6128833E+002, 1.4793679E+000, 1.0871057E+001
 2.6223503E+002, 1.4794055E+000, 1.0869791E+001
 2.6318173E+002, 1.4794382E+000, 1.0869285E+001
 2.6412843E+002, 1.4794720E+000, 1.0869250E+001
 2.6507512E+002, 1.4795074E+000, 1.0869686E+001
 2.6602182E+002, 1.4795438E+000, 1.0870463E+001
 2.6728408E+002, 1.4795879E+000, 1.0871502E+001
 2.6823078E+002, 1.4796341E+000, 1.0872111E+001
 2.6917748E+002, 1.4796755E+000, 1.0872065E+001
 2.7012417E+002, 1.4797187E+000, 1.0871948E+001
 2.7107087E+002, 1.4797635E+000, 1.0872221E+001
 2.7201757E+002, 1.4798097E+000, 1.0873107E+001
 2.7327983E+002, 1.4798657E+000, 1.0874787E+001
 2.7422653E+002, 1.4799240E+000, 1.0876579E+001
 2.7517322E+002, 1.4799760E+000, 1.0877973E+001
 2.7611992E+002, 1.4800293E+000, 1.0879338E+001
 2.7706662E+002, 1.4800839E+000, 1.0880681E+001
 2.7801331E+002, 1.4801395E+000, 1.0881717E+001
 2.7927557E+002, 1.4802052E+000, 1.0882282E+001
 2.8022227E+002, 1.4802718E+000, 1.0882308E+001
 2.8116897E+002, 1.4803299E+000, 1.0882349E+001
 2.8211567E+002, 1.4803882E+000, 1.0882723E+001
 2.8306236E+002, 1.4804469E+000, 1.0883416E+001
 2.8400906E+002, 1.4805060E+000, 1.0884322E+001
 2.8527132E+002, 1.4805753E+000, 1.0885579E+001
 2.8621802E+002, 1.4806447E+000, 1.0887247E+001
 2.8716472E+002, 1.4807046E+000, 1.0889170E+001
 2.8811141E+002, 1.4807644E+000, 1.0891421E+001
 2.8905811E+002, 1.4808235E+000, 1.0893797E+001
 2.9000481E+002, 1.4808825E+000, 1.0896132E+001
 2.9126707E+002, 1.4809519E+000, 1.0898838E+001
 2.9221377E+002, 1.4810216E+000, 1.0901392E+001
 2.9316046E+002, 1.4810810E+000, 1.0902977E+001
 2.9410716E+002, 1.4811400E+000, 1.0903658E+001
 2.9505386E+002, 1.4811989E+000, 1.0903540E+001
