s,Pa,kg/m3,kW,kW
Time,"p0","rho","Q1-0","Q2-0"
 1.7000066E+003, 1.0173249E+005, 1.1845606E+000,-2.1333604E+000, 2.1161729E+000
 1.7100299E+003, 1.0173260E+005, 1.1847201E+000,-2.1309223E+000, 2.1184495E+000
 1.7200179E+003, 1.0173270E+005, 1.1845327E+000,-2.1296221E+000, 2.1175021E+000
 1.7300059E+003, 1.0173282E+005, 1.1846154E+000,-2.1324390E+000, 2.1157250E+000
 1.7400292E+003, 1.0173294E+005, 1.1845401E+000,-2.1303780E+000, 2.1164288E+000
 1.7500172E+003, 1.0173304E+005, 1.1848303E+000,-2.1311251E+000, 2.1181137E+000
 1.7600052E+003, 1.0173315E+005, 1.1850066E+000,-2.1349563E+000, 2.1200578E+000
 1.7700285E+003, 1.0173328E+005, 1.1850391E+000,-2.1359520E+000, 2.1197217E+000
 1.7800164E+003, 1.0173341E+005, 1.1847699E+000,-2.1356271E+000, 2.1182739E+000
 1.7900044E+003, 1.0173355E+005, 1.1846136E+000,-2.1361328E+000, 2.1179428E+000
 1.8000277E+003, 1.0173370E+005, 1.1847343E+000,-2.1333595E+000, 2.1158662E+000
 1.8100157E+003, 1.0173381E+005, 1.1849199E+000,-2.1291489E+000, 2.1185318E+000
 1.8200037E+003, 1.0173389E+005, 1.1851350E+000,-2.1288394E+000, 2.1195466E+000
 1.8300270E+003, 1.0173397E+005, 1.1850166E+000,-2.1279677E+000, 2.1182212E+000
 1.8400150E+003, 1.0173405E+005, 1.1849491E+000,-2.1294322E+000, 2.1181194E+000
 1.8500030E+003, 1.0173414E+005, 1.1849256E+000,-2.1281758E+000, 2.1193255E+000
 1.8600263E+003, 1.0173419E+005, 1.1850708E+000,-2.1278005E+000, 2.1223525E+000
 1.8700143E+003, 1.0173424E+005, 1.1848188E+000,-2.1283508E+000, 2.1225023E+000
 1.8800023E+003, 1.0173428E+005, 1.1848033E+000,-2.1278093E+000, 2.1224812E+000
 1.8900256E+003, 1.0173433E+005, 1.1846886E+000,-2.1272660E+000, 2.1204147E+000
 1.9000136E+003, 1.0173439E+005, 1.1847031E+000,-2.1278450E+000, 2.1187109E+000
 1.9100016E+003, 1.0173447E+005, 1.1848324E+000,-2.1282592E+000, 2.1186922E+000
 1.9200249E+003, 1.0173456E+005, 1.1847495E+000,-2.1309591E+000, 2.1179245E+000
 1.9300129E+003, 1.0173466E+005, 1.1846946E+000,-2.1317388E+000, 2.1200984E+000
 1.9400009E+003, 1.0173475E+005, 1.1848956E+000,-2.1293357E+000, 2.1182190E+000
 1.9500242E+003, 1.0173485E+005, 1.1847606E+000,-2.1288634E+000, 2.1162923E+000
 1.9600122E+003, 1.0173494E+005, 1.1846154E+000,-2.1274720E+000, 2.1165411E+000
 1.9700002E+003, 1.0173503E+005, 1.1843268E+000,-2.1273106E+000, 2.1164355E+000
 1.9800235E+003, 1.0173511E+005, 1.1846401E+000,-2.1264226E+000, 2.1167945E+000
 1.9900114E+003, 1.0173518E+005, 1.1849064E+000,-2.1265432E+000, 2.1189834E+000
 2.0000347E+003, 1.0173522E+005, 1.1846430E+000,-2.1259363E+000, 2.1215281E+000
 2.0100227E+003, 1.0173527E+005, 1.1846069E+000,-2.1292258E+000, 2.1224857E+000
 2.0200107E+003, 1.0173532E+005, 1.1847338E+000,-2.1287096E+000, 2.1220163E+000
 2.0300340E+003, 1.0173538E+005, 1.1849207E+000,-2.1308511E+000, 2.1238744E+000
