s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PBT,MLR_PRODUCTS,MLR_PROPANE,MLR_PRODUCTS 2
 7.800E+02, 8.338E+01, 0.000E+00,-2.366E+01,-6.180E+01, 7.458E-01, 1.195E+00, 0.000E+00, 0.000E+00, 1.326E-01,-1.362E-01, 0.000E+00, 8.179E-04, 0.000E+00, 1.383E-03, 0.000E+00
 7.900E+02, 8.031E+01, 0.000E+00,-2.265E+01,-6.048E+01, 7.111E-01, 1.210E+00, 0.000E+00, 0.000E+00,-6.126E-01,-8.996E-01, 0.000E+00, 6.999E-04, 0.000E+00, 1.383E-03, 0.000E+00
 8.000E+02, 7.826E+01, 0.000E+00,-2.195E+01,-5.894E+01, 7.974E-01, 1.228E+00, 0.000E+00, 0.000E+00,-3.681E-01,-6.059E-01, 0.000E+00, 6.067E-04, 0.000E+00, 1.383E-03, 0.000E+00
 8.100E+02, 7.549E+01, 0.000E+00,-2.107E+01,-5.653E+01, 9.358E-01, 1.233E+00, 0.000E+00, 0.000E+00, 2.517E-01, 5.864E-02, 0.000E+00, 4.986E-04, 0.000E+00, 1.383E-03, 0.000E+00
 8.200E+02, 7.365E+01, 0.000E+00,-2.043E+01,-5.604E+01, 9.386E-01, 1.251E+00, 0.000E+00, 0.000E+00,-3.550E-01,-6.314E-01, 0.000E+00, 4.314E-04, 0.000E+00, 1.383E-03, 0.000E+00
 8.300E+02, 7.226E+01, 0.000E+00,-2.003E+01,-5.452E+01, 1.067E+00, 1.251E+00, 0.000E+00, 0.000E+00, 2.206E-01, 3.283E-02, 0.000E+00, 3.666E-04, 0.000E+00, 1.383E-03, 0.000E+00
 8.400E+02, 7.064E+01, 0.000E+00,-1.950E+01,-5.413E+01, 1.218E+00, 1.253E+00, 0.000E+00, 0.000E+00,-3.886E-01,-5.285E-01, 0.000E+00, 3.100E-04, 0.000E+00, 1.383E-03, 0.000E+00
 8.500E+02, 6.997E+01, 0.000E+00,-1.927E+01,-5.317E+01, 1.240E+00, 1.267E+00, 0.000E+00, 0.000E+00, 2.011E-01, 3.846E-02, 0.000E+00, 2.713E-04, 0.000E+00, 1.383E-03, 0.000E+00
 8.600E+02, 6.885E+01, 0.000E+00,-1.894E+01,-5.288E+01, 1.243E+00, 1.262E+00, 0.000E+00, 0.000E+00,-3.058E-01,-4.629E-01, 0.000E+00, 2.480E-04, 0.000E+00, 1.383E-03, 0.000E+00
 8.700E+02, 6.901E+01, 0.000E+00,-1.897E+01,-5.292E+01, 1.281E+00, 1.265E+00, 0.000E+00, 0.000E+00,-1.757E-01,-3.335E-01, 0.000E+00, 2.304E-04, 0.000E+00, 1.383E-03, 0.000E+00
 8.800E+02, 6.811E+01, 0.000E+00,-1.869E+01,-5.219E+01, 1.304E+00, 1.262E+00, 0.000E+00, 0.000E+00,-6.942E-02,-2.039E-01, 0.000E+00, 2.106E-04, 0.000E+00, 1.383E-03, 0.000E+00
 8.900E+02, 6.787E+01, 0.000E+00,-1.865E+01,-5.178E+01, 1.269E+00, 1.258E+00, 0.000E+00, 0.000E+00, 1.270E-01,-3.137E-02, 0.000E+00, 1.935E-04, 0.000E+00, 1.383E-03, 0.000E+00
 9.000E+02, 6.738E+01, 0.000E+00,-1.848E+01,-5.136E+01, 1.317E+00, 1.260E+00, 0.000E+00, 0.000E+00, 2.764E-01, 1.143E-01, 0.000E+00, 1.775E-04, 0.000E+00, 1.383E-03, 0.000E+00
