s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 1.580E+03, 2.011E+02,-5.956E+01,-1.050E+02,-3.774E+01, 7.612E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.009E-01, 3.999E-03, 3.999E-03
 1.610E+03, 1.996E+02,-5.917E+01,-1.047E+02,-3.694E+01, 7.742E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.363E-01, 3.999E-03, 3.999E-03
 1.640E+03, 1.988E+02,-5.943E+01,-1.030E+02,-3.751E+01, 7.621E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.329E-01, 3.999E-03, 3.999E-03
 1.670E+03, 2.003E+02,-5.960E+01,-1.049E+02,-3.700E+01, 7.614E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.964E-01, 3.999E-03, 3.999E-03
 1.700E+03, 2.015E+02,-5.900E+01,-1.076E+02,-3.608E+01, 7.608E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.682E-01, 3.999E-03, 3.999E-03
 1.730E+03, 1.998E+02,-5.882E+01,-1.060E+02,-3.619E+01, 7.736E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.425E-01, 3.999E-03, 3.999E-03
 1.760E+03, 2.000E+02,-5.784E+01,-1.078E+02,-3.547E+01, 7.724E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.271E-01, 3.999E-03, 3.999E-03
 1.790E+03, 1.996E+02,-5.917E+01,-1.050E+02,-3.665E+01, 7.677E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.159E-01, 3.999E-03, 3.999E-03
 1.820E+03, 2.005E+02,-5.915E+01,-1.058E+02,-3.676E+01, 7.538E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.567E-01, 3.999E-03, 3.999E-03
 1.850E+03, 1.993E+02,-5.859E+01,-1.065E+02,-3.536E+01, 7.755E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.532E-01, 3.999E-03, 3.999E-03
 1.880E+03, 1.996E+02,-5.821E+01,-1.074E+02,-3.520E+01, 7.784E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.388E-01, 3.999E-03, 3.999E-03
 1.910E+03, 2.007E+02,-5.876E+01,-1.078E+02,-3.528E+01, 7.492E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.902E-01, 3.999E-03, 3.999E-03
 1.940E+03, 1.999E+02,-5.852E+01,-1.077E+02,-3.489E+01, 7.595E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.335E-01, 3.999E-03, 3.999E-03
 1.970E+03, 1.994E+02,-5.783E+01,-1.079E+02,-3.491E+01, 7.593E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.393E-01, 3.999E-03, 3.999E-03
 2.000E+03, 2.011E+02,-5.862E+01,-1.087E+02,-3.500E+01, 7.542E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.218E-01, 3.999E-03, 3.999E-03
 2.030E+03, 2.002E+02,-5.863E+01,-1.078E+02,-3.494E+01, 7.691E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.005E-01, 3.999E-03, 3.999E-03
 2.060E+03, 1.996E+02,-5.828E+01,-1.080E+02,-3.455E+01, 7.540E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.813E-01, 3.999E-03, 3.999E-03
 2.090E+03, 2.002E+02,-5.775E+01,-1.102E+02,-3.346E+01, 7.781E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.270E-01, 3.999E-03, 3.999E-03
 2.120E+03, 1.993E+02,-5.781E+01,-1.083E+02,-3.438E+01, 7.528E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.428E-01, 3.999E-03, 3.999E-03
 2.150E+03, 2.011E+02,-5.852E+01,-1.095E+02,-3.425E+01, 7.529E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.332E-01, 3.999E-03, 3.999E-03
 2.180E+03, 1.998E+02,-5.723E+01,-1.102E+02,-3.359E+01, 7.732E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.503E-01, 3.999E-03, 3.999E-03
 2.210E+03, 1.992E+02,-5.800E+01,-1.089E+02,-3.344E+01, 7.689E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.862E-01, 3.999E-03, 3.999E-03
 2.240E+03, 1.995E+02,-5.744E+01,-1.093E+02,-3.394E+01, 7.579E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.016E-01, 3.999E-03, 3.999E-03
 2.270E+03, 2.015E+02,-5.779E+01,-1.121E+02,-3.285E+01, 7.780E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.440E-01, 3.999E-03, 3.999E-03
 2.300E+03, 1.991E+02,-5.777E+01,-1.089E+02,-3.359E+01, 7.573E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.050E-01, 3.999E-03, 3.999E-03
 2.330E+03, 2.000E+02,-5.757E+01,-1.103E+02,-3.330E+01, 7.561E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.454E-01, 3.999E-03, 3.999E-03
 2.360E+03, 2.003E+02,-5.799E+01,-1.101E+02,-3.330E+01, 7.560E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.998E-01, 3.999E-03, 3.999E-03
 2.390E+03, 2.008E+02,-5.799E+01,-1.106E+02,-3.342E+01, 7.680E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.591E-01, 3.999E-03, 3.999E-03
