s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 2.920E+03, 1.962E+02,-9.748E+01,-5.691E+01,-4.221E+01, 6.589E-01, 4.137E-02, 0.000E+00, 1.383E-01, 2.717E-01, 3.999E-03, 3.999E-03,-2.084E+02
 2.950E+03, 1.965E+02,-9.748E+01,-5.670E+01,-4.270E+01, 6.569E-01, 6.855E-02, 0.000E+00, 2.501E-01, 3.568E-01, 3.999E-03, 3.999E-03,-1.884E+02
 2.980E+03, 1.957E+02,-9.745E+01,-5.700E+01,-4.198E+01, 6.599E-01,-7.420E-02, 0.000E+00,-2.696E-01,-1.348E-01, 3.999E-03, 3.999E-03,-2.099E+02
 3.010E+03, 1.964E+02,-9.778E+01,-5.651E+01,-4.261E+01, 6.570E-01, 1.807E-03, 0.000E+00, 1.444E-02, 1.229E-01, 3.999E-03, 3.999E-03,-2.088E+02
 3.040E+03, 1.962E+02,-9.748E+01,-5.722E+01,-4.190E+01, 6.567E-01, 6.687E-02, 0.000E+00, 2.207E-01, 3.671E-01, 3.999E-03, 3.999E-03,-1.912E+02
 3.070E+03, 1.959E+02,-9.748E+01,-5.722E+01,-4.193E+01, 6.583E-01,-5.887E-02, 0.000E+00,-2.062E-01,-8.644E-02, 3.999E-03, 3.999E-03,-2.076E+02
 3.100E+03, 1.962E+02,-9.762E+01,-5.717E+01,-4.183E+01, 6.571E-01, 5.956E-02, 0.000E+00, 2.133E-01, 3.280E-01, 3.999E-03, 3.999E-03,-1.906E+02
 3.130E+03, 1.960E+02,-9.767E+01,-5.740E+01,-4.163E+01, 6.590E-01,-6.628E-02, 0.000E+00,-2.375E-01,-1.093E-01, 3.999E-03, 3.999E-03,-2.095E+02
 3.160E+03, 1.961E+02,-9.783E+01,-5.699E+01,-4.176E+01, 6.536E-01, 7.031E-03, 0.000E+00, 1.844E-02, 1.518E-01, 3.999E-03, 3.999E-03,-2.081E+02
 3.190E+03, 1.962E+02,-9.770E+01,-5.736E+01,-4.154E+01, 6.563E-01, 6.901E-02, 0.000E+00, 2.377E-01, 3.669E-01, 3.999E-03, 3.999E-03,-1.891E+02
 3.220E+03, 1.960E+02,-9.774E+01,-5.744E+01,-4.142E+01, 6.567E-01,-4.372E-02, 0.000E+00,-1.603E-01,-2.727E-02, 3.999E-03, 3.999E-03,-2.019E+02
 3.250E+03, 1.957E+02,-9.764E+01,-5.777E+01,-4.088E+01, 6.607E-01,-4.925E-03, 0.000E+00,-1.763E-02, 1.022E-01, 3.999E-03, 3.999E-03,-2.033E+02
 3.280E+03, 1.962E+02,-9.808E+01,-5.746E+01,-4.125E+01, 6.558E-01,-1.210E-02, 0.000E+00,-4.108E-02, 7.847E-02, 3.999E-03, 3.999E-03,-2.066E+02
 3.310E+03, 1.961E+02,-9.797E+01,-5.737E+01,-4.125E+01, 6.562E-01, 5.471E-03, 0.000E+00, 1.357E-02, 1.436E-01, 3.999E-03, 3.999E-03,-2.055E+02
