m,Pa
p-x,p
 4.3645500E+002, 1.9941295E+001
 4.3745375E+002, 1.9941295E+001
 4.3845250E+002, 1.9924715E+001
 4.3945125E+002, 1.9924715E+001
 4.4045000E+002, 1.9908309E+001
 4.4144875E+002, 1.9908309E+001
 4.4244750E+002, 1.9891960E+001
 4.4344625E+002, 1.9891960E+001
 4.4444500E+002, 1.9875460E+001
 4.4544375E+002, 1.9875460E+001
 4.4644250E+002, 1.9858783E+001
 4.4744125E+002, 1.9858783E+001
 4.4844000E+002, 1.9841630E+001
 4.4943875E+002, 1.9841630E+001
 4.5043750E+002, 1.9824523E+001
 4.5143625E+002, 1.9824523E+001
 4.5243500E+002, 1.9807115E+001
 4.5343375E+002, 1.9807115E+001
 4.5443250E+002, 1.9790002E+001
 4.5543125E+002, 1.9790002E+001
 4.5643000E+002, 1.9772848E+001
 4.5742875E+002, 1.9772848E+001
 4.5842750E+002, 1.9756190E+001
 4.5942625E+002, 1.9756190E+001
 4.6042500E+002, 1.9739362E+001
 4.6142375E+002, 1.9739362E+001
 4.6242250E+002, 1.9723125E+001
 4.6342125E+002, 1.9723125E+001
 4.6442000E+002, 1.9706560E+001
 4.6541875E+002, 1.9706560E+001
 4.6641750E+002, 1.9690108E+001
 4.6741625E+002, 1.9690108E+001
 4.6841500E+002, 1.9673554E+001
 4.6941375E+002, 1.9673554E+001
 4.7041250E+002, 1.9656883E+001
 4.7141125E+002, 1.9656883E+001
 4.7241000E+002, 1.9639950E+001
 4.7340875E+002, 1.9639950E+001
 4.7440750E+002, 1.9622922E+001
 4.7540625E+002, 1.9622922E+001
 4.7640500E+002, 1.9606374E+001
 4.7740375E+002, 1.9606374E+001
 4.7840250E+002, 1.9589678E+001
 4.7940125E+002, 1.9589678E+001
 4.8040000E+002, 1.9572836E+001
 4.8139875E+002, 1.9572836E+001
 4.8239750E+002, 1.9555871E+001
 4.8339625E+002, 1.9555871E+001
 4.8439500E+002, 1.9538875E+001
 4.8539375E+002, 1.9538875E+001
 4.8639250E+002, 1.9521870E+001
 4.8739125E+002, 1.9521870E+001
 4.8839000E+002, 1.9504931E+001
 4.8938875E+002, 1.9504931E+001
 4.9038750E+002, 1.9487350E+001
 4.9138625E+002, 1.9487350E+001
 4.9238500E+002, 1.9469949E+001
 4.9338375E+002, 1.9469949E+001
 4.9438250E+002, 1.9452613E+001
 4.9538125E+002, 1.9452613E+001
 4.9638000E+002, 1.9434968E+001
 4.9737875E+002, 1.9434968E+001
 4.9837750E+002, 1.9417723E+001
 4.9937625E+002, 1.9417723E+001
 5.0037500E+002, 1.9400407E+001
 5.0137375E+002, 1.9400407E+001
 5.0237250E+002, 1.9383120E+001
 5.0337125E+002, 1.9383120E+001
 5.0437000E+002, 1.9365803E+001
 5.0536875E+002, 1.9365803E+001
 5.0636750E+002, 1.9348534E+001
 5.0736625E+002, 1.9348534E+001
 5.0836500E+002, 1.9331219E+001
 5.0936375E+002, 1.9331219E+001
 5.1036250E+002, 1.9314379E+001
 5.1136125E+002, 1.9314379E+001
 5.1236000E+002, 1.9297216E+001
 5.1335875E+002, 1.9297216E+001
 5.1435750E+002, 1.9280056E+001
 5.1535625E+002, 1.9280056E+001
 5.1635500E+002, 1.9263177E+001
 5.1735375E+002, 1.9263177E+001
 5.1835250E+002, 1.9246584E+001
 5.1935125E+002, 1.9246584E+001
 5.2035000E+002, 1.9229856E+001
 5.2134875E+002, 1.9229856E+001
 5.2234750E+002, 1.9213051E+001
 5.2334625E+002, 1.9213051E+001
 5.2434500E+002, 1.9195913E+001
 5.2534375E+002, 1.9195913E+001
 5.2634250E+002, 1.9178769E+001
 5.2734125E+002, 1.9178769E+001
 5.2834000E+002, 1.9161579E+001
 5.2933875E+002, 1.9161579E+001
 5.3033750E+002, 1.9144069E+001
 5.3133625E+002, 1.9144069E+001
 5.3233500E+002, 1.9126958E+001
 5.3333375E+002, 1.9126958E+001
 5.3433250E+002, 1.9109848E+001
 5.3533125E+002, 1.9109848E+001
 5.3633000E+002, 1.9092967E+001
 5.3732875E+002, 1.9092967E+001
 5.3832750E+002, 1.9076113E+001
 5.3932625E+002, 1.9076113E+001
 5.4032500E+002, 1.9059203E+001
 5.4132375E+002, 1.9059203E+001
 5.4232250E+002, 1.9042577E+001
 5.4332125E+002, 1.9042577E+001
 5.4432000E+002, 1.9026213E+001
 5.4531875E+002, 1.9026213E+001
 5.4631750E+002, 1.9009332E+001
 5.4731625E+002, 1.9009332E+001
 5.4831500E+002, 1.8992769E+001
 5.4931375E+002, 1.8992769E+001
 5.5031250E+002, 1.8975987E+001
