s,kg/s,kW/m2,kW/m2,kW/m2,kW/m2,mol/mol,mol/mol,kW/m2,kW/m2,kW/m2,kW/m2
Time,"MLRPUA","C 1","C 2","R 1","R 2","G 1","G 2","R 1.1","R 1.2","R 1.3","R 1.4"
 8.6002275E+001, 4.5007089E-002, 4.7312948E-001, 4.6357810E-001, 3.2000983E+001, 3.3642574E+001, 6.8224313E-001, 6.3277990E-001, 3.5980463E+001, 4.3865904E+001, 5.1244860E+001, 5.9560751E+001
 8.7000342E+001, 4.5366835E-002, 5.9632181E-001, 3.2871508E-001, 3.3197794E+001, 3.4348840E+001, 6.2859069E-001, 6.8000321E-001, 3.7711805E+001, 4.7006927E+001, 5.6349631E+001, 6.5996706E+001
 8.8002231E+001, 4.3415360E-002, 4.2797875E-001, 3.3864378E-001, 3.0318106E+001, 3.0079380E+001, 6.8795893E-001, 6.6213118E-001, 3.4510029E+001, 4.4180125E+001, 5.5128928E+001, 6.5588346E+001
 8.9001444E+001, 4.3513590E-002, 5.0486733E-001, 3.6549030E-001, 2.9243595E+001, 3.2404000E+001, 6.4207539E-001, 5.9757634E-001, 3.2925608E+001, 4.0275898E+001, 4.7156072E+001, 5.3921657E+001
 9.0001765E+001, 4.5488314E-002, 2.9801471E-001, 3.5554971E-001, 3.1325434E+001, 3.2851504E+001, 7.3359640E-001, 6.6001529E-001, 3.5327546E+001, 4.3633576E+001, 5.1804784E+001, 6.0616189E+001
 9.1001004E+001, 4.4730963E-002, 2.6656028E-001, 3.3539348E-001, 3.0820757E+001, 3.1307552E+001, 7.4896952E-001, 7.1493511E-001, 3.4970348E+001, 4.3698235E+001, 5.3137518E+001, 6.3756038E+001
 9.2001164E+001, 4.7402870E-002, 2.5698309E-001, 4.4201324E-001, 3.3271504E+001, 3.5113296E+001, 7.4771703E-001, 6.6761640E-001, 3.7733306E+001, 4.7243146E+001, 5.7697885E+001, 7.0951772E+001
 9.3000564E+001, 4.8827238E-002, 3.8619384E-001, 3.5080497E-001, 3.7456658E+001, 3.3641696E+001, 6.9404693E-001, 6.9999396E-001, 4.2983261E+001, 5.5383997E+001, 6.7450577E+001, 7.7383133E+001
 9.4001816E+001, 5.2106252E-002, 3.4702216E-001, 3.7732695E-001, 3.9176175E+001, 3.6403535E+001, 7.1610605E-001, 6.9038908E-001, 4.4570398E+001, 5.6612073E+001, 6.9752852E+001, 8.5621803E+001
 9.5001523E+001, 5.0478800E-002, 4.8367861E-001, 3.6615999E-001, 3.5285679E+001, 3.2361372E+001, 6.6668186E-001, 6.8625630E-001, 4.0259809E+001, 5.0977801E+001, 6.2555435E+001, 7.4275447E+001
