s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 1.0950164E+003, 3.5125987E+002,-1.8221293E+002,-6.7971516E+001,-1.0742389E+002,-4.8314058E-001,-1.4510040E+001, 0.0000000E+000,-1.9009977E+001,-2.1341651E+001, 5.0053843E-003, 5.0053843E-003,-3.4367576E+002
 1.1100090E+003, 4.0539975E+002,-1.8782552E+002,-6.2845431E+001,-1.0450041E+002,-5.4343119E-001, 7.4978687E+000, 0.0000000E+000, 5.9216271E+001, 5.7182821E+001, 4.8026637E-003, 4.8026637E-003, 1.2144779E+002
 1.1250083E+003, 3.0817662E+002,-1.7801300E+002,-5.2275209E+001,-1.0847952E+002,-5.0033540E-001,-8.8082325E+000, 0.0000000E+000,-3.8924640E+001,-3.9899679E+001, 4.5999325E-003, 4.5999325E-003,-4.3968427E+002
 1.1400110E+003, 3.2310600E+002,-1.7820725E+002,-4.9071313E+001,-1.0542442E+002,-4.7034249E-001, 2.9457339E+000, 0.0000000E+000,-6.7528588E+000,-7.1216002E+000, 4.3971542E-003, 4.3971542E-003,-2.5457345E+002
 1.1550050E+003, 3.1973516E+002,-1.6782165E+002,-4.8582381E+001,-1.0095280E+002,-4.1664695E-001, 5.2413134E+000, 0.0000000E+000, 6.5461912E+000, 7.2029907E+000, 4.1944055E-003, 4.1944055E-003, 6.8374910E+001
 1.1700182E+003, 2.7214890E+002,-1.6210217E+002,-4.6806058E+001,-9.9184972E+001,-3.4133021E-001,-5.3712902E+000, 0.0000000E+000,-4.1426906E+001,-4.1656917E+001, 3.9915988E-003, 3.9915988E-003,-2.6934779E+002
 1.1850099E+003, 2.9323411E+002,-1.5898862E+002,-4.6776816E+001,-9.4388927E+001,-3.3100111E-001, 1.9598360E+000, 0.0000000E+000,-5.3755854E+000,-5.2914174E+000, 3.6679697E-003, 3.6679697E-003,-1.4744995E+002
 1.2000099E+003, 3.3422640E+002,-1.5938096E+002,-5.2552087E+001,-9.4080925E+001,-2.8964379E-001, 5.6428157E+000, 0.0000000E+000, 3.3596925E+001, 3.3565602E+001, 3.0968797E-003, 3.0968797E-003, 2.0728489E+002
 1.2150078E+003, 2.6692481E+002,-1.5611636E+002,-4.7067265E+001,-9.5746649E+001,-2.4948477E-001,-7.8169932E+000, 0.0000000E+000,-4.0001698E+001,-4.0071939E+001, 2.5181416E-003, 2.5181416E-003,-2.8841879E+002
 1.2300173E+003, 3.0625889E+002,-1.6340383E+002,-5.0519311E+001,-9.6318912E+001,-2.3143039E-001,-1.3267571E+000, 0.0000000E+000,-5.4141394E+000,-5.5413440E+000, 1.9394366E-003, 1.9394366E-003,-3.7142101E+002
 1.2450183E+003, 3.6472526E+002,-1.7506399E+002,-5.7916367E+001,-9.9394615E+001,-1.6738587E-001, 8.4620137E+000, 0.0000000E+000, 4.0072483E+001, 4.0644923E+001, 1.3603897E-003, 1.3603897E-003, 1.5069166E+002
 1.2600006E+003, 3.4049266E+002,-1.6962718E+002,-5.4272349E+001,-9.8509421E+001,-1.2141581E-001, 3.4842065E+000, 0.0000000E+000, 2.0427941E+001, 2.1446496E+001, 8.7442465E-004, 8.7442465E-004, 3.5877571E+002
 1.2750059E+003, 2.8927700E+002,-1.6561930E+002,-4.9472106E+001,-9.9070722E+001,-1.5918946E-001,-8.6863376E+000, 0.0000000E+000,-3.2486466E+001,-3.3730661E+001, 1.2386036E-003, 1.2386036E-003,-1.9121688E+002
 1.2900049E+003, 3.1199922E+002,-1.7200713E+002,-4.9948600E+001,-9.8280430E+001,-1.9060727E-001,-2.4379319E+000, 0.0000000E+000,-9.6563656E+000,-1.0865478E+001, 1.5731878E-003, 1.5731878E-003,-3.4765270E+002
 1.3050095E+003, 3.0037320E+002,-1.6287083E+002,-4.3828937E+001,-9.3954186E+001,-1.7287274E-001, 7.7281532E+000, 0.0000000E+000, 7.4016856E+000, 7.2745201E+000, 1.3012597E-003, 1.3012597E-003, 1.3805991E+002
 1.3200016E+003, 2.1192519E+002,-1.4617714E+002,-3.8886014E+001,-9.1099247E+001,-1.3990761E-001,-6.4436813E+000, 0.0000000E+000,-7.1020463E+001,-7.0820807E+001, 9.9852096E-004, 9.9852096E-004,-2.7379307E+002
 1.3350171E+003, 2.6704298E+002,-1.4713620E+002,-4.2986650E+001,-8.8471476E+001,-1.0013802E-001, 1.6289987E+000, 0.0000000E+000,-8.7867308E+000,-1.0022488E+001, 6.9579288E-004, 6.9579288E-004,-1.7141617E+002
 1.3500092E+003, 2.4652526E+002,-1.4232880E+002,-4.0155445E+001,-8.4914091E+001,-5.8668485E-002, 4.2744146E+000, 0.0000000E+000,-1.5564129E+001,-1.6657335E+001, 3.9297673E-004, 3.9297673E-004, 8.6835502E+001
 1.3650271E+003, 2.0004128E+002,-1.2761025E+002,-3.9608646E+001,-7.9231193E+001,-1.5597942E-002,-6.5548059E+000, 0.0000000E+000,-5.0206450E+001,-5.2979212E+001, 9.6344989E-005, 9.6344989E-005,-3.2478517E+002
 1.3800056E+003, 2.6450608E+002,-1.2786884E+002,-4.3512812E+001,-7.6701967E+001,-5.1640984E-004, 7.5994749E+000, 0.0000000E+000, 2.3907650E+001, 2.4021415E+001, 0.0000000E+000, 0.0000000E+000, 1.4936356E+002
 1.3950139E+003, 2.0886733E+002,-1.2117599E+002,-4.0559267E+001,-7.5787399E+001,-8.9945129E-004,-5.4324383E+000, 0.0000000E+000,-3.3234440E+001,-3.4088668E+001, 0.0000000E+000, 0.0000000E+000,-1.9106220E+002
