s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 9.6002643E+002, 1.6606250E+001,-3.4966531E+001,-2.2966965E-003,-2.9343623E+001,-6.1884538E-002, 2.2580617E-001, 0.0000000E+000, 0.0000000E+000,-4.7478899E+001,-4.7542279E+001, 3.9924859E-004, 3.9924859E-004,-5.1957692E+002
 9.7500189E+002, 1.4375619E+001,-3.0307009E+001, 1.2802736E-001,-2.5741253E+001,-5.3394403E-002, 3.6560265E-002, 0.0000000E+000, 0.0000000E+000,-4.1328064E+001,-4.1561450E+001, 3.4318668E-004, 3.4318668E-004,-5.1954957E+002
 9.9000073E+002, 1.3471804E+001,-2.6776385E+001, 1.4151425E-001,-2.2854624E+001,-5.0496757E-002, 9.6057575E-002, 0.0000000E+000, 0.0000000E+000,-3.5787722E+001,-3.5972130E+001, 3.2374817E-004, 3.2374817E-004,-5.1121454E+002
 1.0050140E+003, 1.3465167E+001,-2.4109574E+001,-2.2807935E-002,-2.0347517E+001,-5.0157586E-002,-3.0936499E-001, 0.0000000E+000, 0.0000000E+000,-3.1399263E+001,-3.1374255E+001, 3.2192751E-004, 3.2192751E-004,-5.3078281E+002
 1.0200035E+003, 1.3504652E+001,-2.2048226E+001, 6.0470554E-002,-1.8276521E+001,-4.9822719E-002, 2.5741137E-001, 0.0000000E+000, 0.0000000E+000,-2.6571250E+001,-2.6552036E+001, 3.2010691E-004, 3.2010691E-004,-5.1584096E+002
 1.0350061E+003, 1.3343322E+001,-2.0382719E+001,-6.0738052E-002,-1.6572992E+001,-4.9677920E-002,-1.9736734E-001, 0.0000000E+000, 0.0000000E+000,-2.3861250E+001,-2.3920172E+001, 3.1828668E-004, 3.1828668E-004,-5.2649098E+002
 1.0500156E+003, 1.3298339E+001,-1.9020387E+001, 3.2825722E-002,-1.5125362E+001,-4.9280266E-002, 2.0261402E-001, 0.0000000E+000, 0.0000000E+000,-2.0673954E+001,-2.0661251E+001, 3.1646562E-004, 3.1646562E-004,-5.1484945E+002
 1.0650090E+003, 1.3170611E+001,-1.7873830E+001, 4.3036599E-002,-1.4080623E+001,-4.9021418E-002,-2.1619602E-001, 0.0000000E+000, 0.0000000E+000,-1.8984170E+001,-1.9006023E+001, 3.1464487E-004, 3.1464487E-004,-5.2687127E+002
 1.0800138E+003, 1.3247274E+001,-1.6989201E+001,-2.6592472E-002,-1.3037526E+001,-4.8630440E-002, 1.4921714E-001, 0.0000000E+000, 0.0000000E+000,-1.6702631E+001,-1.6705459E+001, 3.1282467E-004, 3.1282467E-004,-5.1741603E+002
 1.0950083E+003, 1.3018490E+001,-1.6204830E+001, 1.4278506E-002,-1.2170447E+001,-4.8290762E-002,-1.3347936E-001, 0.0000000E+000, 0.0000000E+000,-1.5570521E+001,-1.5524279E+001, 3.1100388E-004, 3.1100388E-004,-5.2721025E+002
 1.1100005E+003, 1.3153041E+001,-1.5530570E+001,-2.3490791E-002,-1.1414000E+001,-4.8048485E-002, 7.2960516E-002, 0.0000000E+000, 0.0000000E+000,-1.3794142E+001,-1.3790108E+001, 3.0918442E-004, 3.0918442E-004,-5.2213478E+002
 1.1250397E+003, 1.2790111E+001,-1.4941180E+001, 1.2504876E-002,-1.0854903E+001,-4.7758304E-002, 2.9168718E-002, 0.0000000E+000, 0.0000000E+000,-1.3052468E+001,-1.3012057E+001, 3.0736205E-004, 3.0736205E-004,-5.2252807E+002
 1.1400234E+003, 1.2797460E+001,-1.4375406E+001,-2.2806628E-002,-1.0292468E+001,-4.7488216E-002,-5.9514946E-002, 0.0000000E+000, 0.0000000E+000,-1.1986584E+001,-1.2000224E+001, 3.0554009E-004, 3.0554009E-004,-5.2484621E+002
 1.1550265E+003, 1.2838729E+001,-1.3879886E+001, 2.1718157E-003,-9.8877609E+000,-4.7204424E-002, 1.2216976E-001, 0.0000000E+000, 0.0000000E+000,-1.0858529E+001,-1.0851780E+001, 3.0372070E-004, 3.0372070E-004,-5.1762490E+002
 1.1700222E+003, 1.2603769E+001,-1.3441945E+001,-2.1941568E-002,-9.4870856E+000,-4.6870975E-002,-1.6795166E-002, 0.0000000E+000, 0.0000000E+000,-1.0433806E+001,-1.0410870E+001, 3.0189956E-004, 3.0189956E-004,-5.1985477E+002
 1.1850105E+003, 1.2845301E+001,-1.3121835E+001,-3.5565148E-002,-9.0515045E+000,-4.6517673E-002,-8.4136431E-002, 0.0000000E+000, 0.0000000E+000,-9.4987729E+000,-9.4942576E+000, 3.0008002E-004, 3.0008002E-004,-5.2517900E+002
 1.2000229E+003, 1.2508207E+001,-1.2744728E+001,-3.8623121E-003,-8.6715255E+000,-4.6265147E-002, 3.4767951E-002, 0.0000000E+000, 0.0000000E+000,-8.9232740E+000,-8.9234059E+000, 2.9825976E-004, 2.9825976E-004,-5.2280067E+002
 1.2150316E+003, 1.2440723E+001,-1.2385625E+001,-1.4753100E-003,-8.3537915E+000,-4.6107291E-002, 8.8035147E-002, 0.0000000E+000, 0.0000000E+000,-8.2874004E+000,-8.2582410E+000, 2.9643756E-004, 2.9643756E-004,-5.1813313E+002
 1.2300250E+003, 1.2503943E+001,-1.2158547E+001,-4.2627053E-002,-8.1207186E+000,-4.5764525E-002,-1.0278682E-001, 0.0000000E+000, 0.0000000E+000,-7.9672231E+000,-7.9665009E+000, 2.9461732E-004, 2.9461732E-004,-5.2465299E+002
 1.2450137E+003, 1.2099028E+001,-1.1889309E+001,-9.7749061E-003,-7.8948625E+000,-4.5547741E-002, 1.0656671E-001, 0.0000000E+000, 0.0000000E+000,-7.6361533E+000,-7.6338995E+000, 2.9279761E-004, 2.9279761E-004,-5.1792739E+002
 1.2600111E+003, 1.2116768E+001,-1.1622950E+001,-4.5439861E-002,-7.6407228E+000,-4.5270762E-002,-9.5009997E-002, 0.0000000E+000, 0.0000000E+000,-7.3362118E+000,-7.3326253E+000, 2.9097794E-004, 2.9097794E-004,-5.2401639E+002
 1.2750265E+003, 1.2041054E+001,-1.1337799E+001,-4.3115277E-002,-7.3475833E+000,-4.4923343E-002,-8.3265942E-003, 0.0000000E+000, 0.0000000E+000,-6.7215963E+000,-6.7406931E+000, 2.8915653E-004, 2.8915653E-004,-5.2388388E+002
 1.2900010E+003, 1.2171095E+001,-1.1247561E+001,-1.2325898E-002,-7.2644774E+000,-4.4522487E-002, 6.9208386E-002, 0.0000000E+000, 0.0000000E+000,-6.3258038E+000,-6.3285838E+000, 2.8733688E-004, 2.8733688E-004,-5.1950787E+002
 1.3050057E+003, 1.2015653E+001,-1.1016530E+001,-3.4221741E-002,-6.9903007E+000,-4.4294823E-002, 2.2178572E-002, 0.0000000E+000, 0.0000000E+000,-6.0575625E+000,-6.0475149E+000, 2.8551721E-004, 2.8551721E-004,-5.1844462E+002
