s,kW,C,kg/m2/s,m,kW/m2
Time,"HRR","temp","MLR","thick","flux"
 5.060E+002, 5.281E+001, 6.788E+002, 0.000E+000, 2.040E-002, 6.233E+001
 5.080E+002, 5.181E+001, 6.736E+002, 0.000E+000, 2.040E-002, 5.930E+001
 5.100E+002, 5.094E+001, 6.715E+002, 0.000E+000, 2.040E-002, 5.931E+001
 5.120E+002, 5.011E+001, 6.693E+002, 0.000E+000, 2.040E-002, 5.905E+001
 5.140E+002, 4.934E+001, 6.746E+002, 0.000E+000, 2.040E-002, 6.237E+001
 5.160E+002, 4.865E+001, 6.775E+002, 0.000E+000, 2.040E-002, 6.296E+001
 5.180E+002, 4.804E+001, 6.763E+002, 0.000E+000, 2.040E-002, 6.183E+001
 5.200E+002, 4.761E+001, 6.781E+002, 0.000E+000, 2.040E-002, 6.249E+001
 5.220E+002, 4.715E+001, 6.752E+002, 0.000E+000, 2.040E-002, 6.050E+001
 5.240E+002, 4.675E+001, 6.716E+002, 0.000E+000, 2.040E-002, 5.959E+001
 5.260E+002, 4.635E+001, 6.728E+002, 0.000E+000, 2.040E-002, 6.072E+001
 5.280E+002, 4.589E+001, 6.724E+002, 0.000E+000, 2.040E-002, 6.079E+001
 5.300E+002, 4.545E+001, 6.755E+002, 0.000E+000, 2.040E-002, 6.198E+001
 5.320E+002, 4.500E+001, 6.731E+002, 0.000E+000, 2.040E-002, 5.989E+001
 5.340E+002, 4.455E+001, 6.681E+002, 0.000E+000, 2.040E-002, 5.863E+001
 5.360E+002, 4.400E+001, 6.689E+002, 0.000E+000, 2.040E-002, 5.954E+001
 5.380E+002, 4.348E+001, 6.704E+002, 0.000E+000, 2.040E-002, 6.011E+001
 5.400E+002, 4.281E+001, 6.702E+002, 0.000E+000, 2.040E-002, 5.997E+001
 5.420E+002, 4.220E+001, 6.687E+002, 0.000E+000, 2.040E-002, 5.892E+001
 5.440E+002, 4.162E+001, 6.631E+002, 0.000E+000, 2.040E-002, 5.684E+001
 5.460E+002, 4.096E+001, 6.649E+002, 0.000E+000, 2.040E-002, 5.882E+001
 5.480E+002, 4.039E+001, 6.658E+002, 0.000E+000, 2.040E-002, 5.905E+001
 5.500E+002, 3.971E+001, 6.687E+002, 0.000E+000, 2.040E-002, 6.035E+001
 5.520E+002, 3.893E+001, 6.676E+002, 0.000E+000, 2.040E-002, 5.923E+001
 5.540E+002, 3.815E+001, 6.677E+002, 0.000E+000, 2.040E-002, 6.002E+001
 5.560E+002, 3.729E+001, 6.670E+002, 0.000E+000, 2.040E-002, 5.878E+001
 5.580E+002, 3.649E+001, 6.660E+002, 0.000E+000, 2.040E-002, 5.877E+001
 5.600E+002, 3.571E+001, 6.603E+002, 0.000E+000, 2.040E-002, 5.653E+001
 5.620E+002, 3.501E+001, 6.660E+002, 0.000E+000, 2.040E-002, 6.016E+001
 5.640E+002, 3.425E+001, 6.640E+002, 0.000E+000, 2.040E-002, 5.807E+001
 5.660E+002, 3.343E+001, 6.654E+002, 0.000E+000, 2.040E-002, 5.938E+001
 5.680E+002, 3.257E+001, 6.652E+002, 0.000E+000, 2.040E-002, 5.884E+001
 5.700E+002, 3.171E+001, 6.627E+002, 0.000E+000, 2.040E-002, 5.744E+001
