s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS,MLR_NITROGEN
 6.2000668E+001, 4.7829884E+000,-6.9498467E-002,-6.9354381E+000, 2.0769732E-002,-1.7167584E-004, 0.0000000E+000, 0.0000000E+000,-2.2151498E+000,-2.2013501E+000, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 5.0653049E-002
 6.3000908E+001, 2.9435422E+000,-3.3362684E-002,-4.5855309E+000, 2.4087045E-002,-1.0261282E-004, 0.0000000E+000, 0.0000000E+000,-1.6565002E+000,-1.6513669E+000, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 5.1872042E-002
 6.4001701E+001, 1.4344257E+000,-1.1947118E-002,-3.3809694E+000, 2.7876617E-002,-4.7249020E-005, 0.0000000E+000, 0.0000000E+000,-1.9375726E+000,-1.9306615E+000, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 5.3091857E-002
 6.5001045E+001, 3.2836451E-001,-1.8784230E-003,-1.8465310E+000, 2.9448244E-002,-3.5744285E-005, 0.0000000E+000, 0.0000000E+000,-1.4948927E+000,-1.4906324E+000, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 5.4311326E-002
 6.6001862E+001, 8.8408304E-002, 1.2813710E-003,-9.8394680E-001, 3.0187356E-002,-3.2146542E-005, 0.0000000E+000, 0.0000000E+000,-8.6815727E-001,-8.6410191E-001, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 5.5530913E-002
 6.7002068E+001, 1.1274464E-002, 2.1178752E-003,-2.8149897E-001, 3.0434419E-002,-2.8678636E-005, 0.0000000E+000, 0.0000000E+000,-2.4070515E-001,-2.3770089E-001, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 5.6750989E-002
 6.8002289E+001, 0.0000000E+000, 2.2993910E-003,-1.3204232E-001, 2.9619940E-002,-2.9909771E-005, 0.0000000E+000, 0.0000000E+000,-1.0279377E-001,-1.0015290E-001, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 5.7970853E-002
 6.9000900E+001, 0.0000000E+000, 2.3434045E-003,-7.9612052E-002, 2.8903304E-002,-3.0175405E-005, 0.0000000E+000, 0.0000000E+000,-5.1108473E-002,-4.8395519E-002, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 5.9189725E-002
 7.0001320E+001, 0.0000000E+000, 2.3120486E-003,-5.4549648E-002, 2.8387888E-002,-2.7435239E-005, 0.0000000E+000, 0.0000000E+000,-2.6402728E-002,-2.3877147E-002, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 6.0408052E-002
 7.1000862E+001, 0.0000000E+000, 2.2617541E-003,-4.9780168E-002, 2.7596010E-002,-2.6726535E-005, 0.0000000E+000, 0.0000000E+000,-2.2598596E-002,-1.9949131E-002, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 6.1627142E-002
 7.2001656E+001, 0.0000000E+000, 2.1979615E-003,-4.2258099E-002, 2.6779691E-002,-2.4474680E-005, 0.0000000E+000, 0.0000000E+000,-1.5974573E-002,-1.3304922E-002, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 6.2846635E-002
 7.3000397E+001, 0.0000000E+000, 2.1391278E-003,-3.9612854E-002, 2.6088261E-002,-2.3916779E-005, 0.0000000E+000, 0.0000000E+000,-1.4133306E-002,-1.1409382E-002, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 6.4065210E-002
 7.4001778E+001, 0.0000000E+000, 2.0788927E-003,-3.5189521E-002, 2.5458819E-002,-2.3062054E-005, 0.0000000E+000, 0.0000000E+000,-1.0396911E-002,-7.6748712E-003, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 6.5284285E-002
 7.5002274E+001, 0.0000000E+000, 2.0295630E-003,-4.4407085E-002, 2.4875418E-002,-2.4701813E-005, 0.0000000E+000, 0.0000000E+000,-2.0215646E-002,-1.7526805E-002, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 6.6504679E-002
 7.6002930E+001, 0.0000000E+000, 1.9860199E-003,-3.7034929E-002, 2.4304845E-002,-2.4209685E-005, 0.0000000E+000, 0.0000000E+000,-1.3501201E-002,-1.0768274E-002, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 6.7724555E-002
 7.7003296E+001, 0.0000000E+000, 1.9488203E-003,-4.1418195E-002, 2.3776028E-002,-2.2342289E-005, 0.0000000E+000, 0.0000000E+000,-1.8387953E-002,-1.5715688E-002, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 6.8944061E-002
 7.8002350E+001, 0.0000000E+000, 1.9211956E-003,-4.2679159E-002, 2.3258923E-002,-2.1403937E-005, 0.0000000E+000, 0.0000000E+000,-2.0433947E-002,-1.7520445E-002, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 7.0162992E-002
 7.9002510E+001, 0.0000000E+000, 1.8932972E-003,-3.5151968E-002, 2.2786309E-002,-2.1909458E-005, 0.0000000E+000, 0.0000000E+000,-1.3475461E-002,-1.0494271E-002, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 7.1381628E-002
 8.0000000E+001, 0.0000000E+000, 1.8507295E-003,-3.6406797E-002, 2.2279286E-002,-2.3369410E-005, 0.0000000E+000, 0.0000000E+000,-1.5220836E-002,-1.2300150E-002, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 7.2599154E-002
