s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_C12H26,MLR_PRODUCTS,ZONE_1
 6.8001135E+002, 9.0604985E+001,-4.1719268E+001,-1.4106161E+001,-3.4810054E+001,-2.6977610E-001,-1.0151090E-001, 0.0000000E+000,-5.7836485E-001,-4.0178574E-001, 0.0000000E+000, 2.1593446E-003, 0.0000000E+000, 5.3895174E+001
 6.9001373E+002, 9.1190408E+001,-4.1913874E+001,-1.4118571E+001,-3.4341911E+001,-2.6999126E-001, 3.9809750E-002, 0.0000000E+000, 3.8709297E-001, 5.8587079E-001, 0.0000000E+000, 2.1617983E-003, 0.0000000E+000, 5.7187681E+001
 7.0001086E+002, 9.1228791E+001,-4.1912886E+001,-1.4108755E+001,-3.4315223E+001,-2.6938242E-001, 4.1088552E-002, 0.0000000E+000, 4.4088094E-001, 6.6363410E-001, 0.0000000E+000, 2.1642533E-003, 0.0000000E+000, 6.0312765E+001
 7.1001428E+002, 9.1069727E+001,-4.1727344E+001,-1.4189960E+001,-3.4688230E+001,-2.7165491E-001,-5.4610576E-002, 0.0000000E+000,-5.4921266E-002, 1.3792729E-001, 0.0000000E+000, 2.1667067E-003, 0.0000000E+000, 5.5820931E+001
 7.2000220E+002, 9.1528923E+001,-4.1963521E+001,-1.4120685E+001,-3.4108633E+001,-2.7084952E-001, 4.4677490E-002, 0.0000000E+000, 9.1004990E-001, 1.1099115E+000, 0.0000000E+000, 2.1691585E-003, 0.0000000E+000, 5.9570541E+001
 7.3000232E+002, 9.1171561E+001,-4.1998418E+001,-1.4029265E+001,-3.4047689E+001,-2.6991675E-001,-3.2594989E-002, 0.0000000E+000, 5.9329751E-001, 7.9367747E-001, 0.0000000E+000, 2.1716111E-003, 0.0000000E+000, 5.6771806E+001
 7.4000055E+002, 9.1567820E+001,-4.2001700E+001,-1.4339730E+001,-3.4491394E+001,-2.7252336E-001, 6.4906073E-002, 0.0000000E+000, 2.9563435E-001, 5.2737857E-001, 0.0000000E+000, 2.1740640E-003, 0.0000000E+000, 6.1762812E+001
 7.5000287E+002, 9.1612535E+001,-4.2027654E+001,-1.3991967E+001,-3.4320051E+001,-2.7202383E-001,-3.1982099E-002, 0.0000000E+000, 7.4565467E-001, 9.6885667E-001, 0.0000000E+000, 2.1765176E-003, 0.0000000E+000, 5.8920670E+001
 7.6000885E+002, 9.1638641E+001,-4.1935241E+001,-1.4074886E+001,-3.3987973E+001,-2.7255838E-001, 1.0327358E-001, 0.0000000E+000, 1.2790780E+000, 1.4712557E+000, 0.0000000E+000, 2.1789725E-003, 0.0000000E+000, 6.7742468E+001
 7.7000574E+002, 9.1539168E+001,-4.2055424E+001,-1.4236957E+001,-3.4031986E+001,-2.7094886E-001,-1.0158531E-001, 0.0000000E+000, 6.2330376E-001, 8.4226638E-001, 0.0000000E+000, 2.1814271E-003, 0.0000000E+000, 5.9089488E+001
 7.8001367E+002, 9.1763142E+001,-4.2035808E+001,-1.4146478E+001,-3.4619639E+001,-2.7269005E-001,-1.0456262E-002, 0.0000000E+000, 4.8001481E-001, 6.7807113E-001, 0.0000000E+000, 2.1838811E-003, 0.0000000E+000, 5.8201472E+001
 7.9000696E+002, 9.2438395E+001,-4.2174467E+001,-1.4341087E+001,-3.4220768E+001,-2.6942451E-001, 5.8689487E-002, 0.0000000E+000, 1.2807580E+000, 1.4913371E+000, 0.0000000E+000, 2.1863346E-003, 0.0000000E+000, 6.2882945E+001
 8.0001135E+002, 9.1643522E+001,-4.2225035E+001,-1.4223655E+001,-3.4243889E+001,-2.7291991E-001,-1.8844663E-001, 0.0000000E+000, 2.6853734E-001, 4.8957624E-001, 0.0000000E+000, 2.1887879E-003, 0.0000000E+000, 4.6927914E+001
 8.1000262E+002, 9.2750956E+001,-4.2220111E+001,-1.4249965E+001,-3.4585372E+001,-2.7186015E-001, 1.5535650E-001, 0.0000000E+000, 1.3875220E+000, 1.5790056E+000, 0.0000000E+000, 2.1912407E-003, 0.0000000E+000, 6.0115961E+001
 8.2001031E+002, 9.2428565E+001,-4.2248973E+001,-1.4418876E+001,-3.4599157E+001,-2.7214374E-001,-3.3949194E-002, 0.0000000E+000, 6.4921762E-001, 8.5546663E-001, 0.0000000E+000, 2.1936938E-003, 0.0000000E+000, 5.7199211E+001
 8.3000629E+002, 9.2504761E+001,-4.2415587E+001,-1.4250882E+001,-3.4645920E+001,-2.7331079E-001, 9.1180817E-002, 0.0000000E+000, 7.7705091E-001, 1.0102426E+000, 0.0000000E+000, 2.1961488E-003, 0.0000000E+000, 6.4287371E+001
 8.4000983E+002, 9.2728411E+001,-4.2435065E+001,-1.4370925E+001,-3.4225341E+001,-2.7238410E-001, 2.1650387E-002, 0.0000000E+000, 1.2295657E+000, 1.4463462E+000, 0.0000000E+000, 2.1986022E-003, 0.0000000E+000, 6.5818094E+001
 8.5000183E+002, 9.2800435E+001,-4.2489217E+001,-1.4422385E+001,-3.4402677E+001,-2.7266993E-001,-3.3095013E-002, 0.0000000E+000, 9.6945004E-001, 1.1803916E+000, 0.0000000E+000, 2.2010549E-003, 0.0000000E+000, 6.2930904E+001
 8.6000537E+002, 9.2352512E+001,-4.2325725E+001,-1.4384932E+001,-3.4256855E+001,-2.7579794E-001,-5.5032914E-002, 0.0000000E+000, 8.5631691E-001, 1.0541691E+000, 0.0000000E+000, 2.2035081E-003, 0.0000000E+000, 5.8384471E+001
 8.7000562E+002, 9.3043995E+001,-4.2527852E+001,-1.4293214E+001,-3.4475817E+001,-2.7422175E-001, 5.4195560E-002, 0.0000000E+000, 1.3399661E+000, 1.5270856E+000, 0.0000000E+000, 2.2059619E-003, 0.0000000E+000, 6.3069267E+001
 8.8000311E+002, 9.3181429E+001,-4.2630812E+001,-1.4429465E+001,-3.4741733E+001,-2.7506651E-001,-1.5440386E-002, 0.0000000E+000, 8.6849612E-001, 1.0889115E+000, 0.0000000E+000, 2.2084151E-003, 0.0000000E+000, 6.1531990E+001
 8.9000330E+002, 9.2891168E+001,-4.2620641E+001,-1.4262736E+001,-3.4365318E+001,-2.7586370E-001, 8.8346500E-002, 0.0000000E+000, 1.2469602E+000, 1.4549554E+000, 0.0000000E+000, 2.2108684E-003, 0.0000000E+000, 6.8884320E+001
 9.0001141E+002, 9.2958806E+001,-4.2566880E+001,-1.4519277E+001,-3.4135974E+001,-2.7582553E-001, 1.0510683E-002, 0.0000000E+000, 1.2478426E+000, 1.4713601E+000, 0.0000000E+000, 2.2133245E-003, 0.0000000E+000, 6.9495070E+001
 9.1001031E+002, 9.3226814E+001,-4.2754206E+001,-1.4353135E+001,-3.4832063E+001,-2.7407722E-001,-1.1013646E-001, 0.0000000E+000, 7.0851645E-001, 9.0319589E-001, 0.0000000E+000, 2.2157785E-003, 0.0000000E+000, 6.0463966E+001
 9.2000275E+002, 9.3597347E+001,-4.2884758E+001,-1.4508052E+001,-3.4615098E+001,-2.7644695E-001, 5.6768034E-002, 0.0000000E+000, 1.1384979E+000, 1.3697611E+000, 0.0000000E+000, 2.2182302E-003, 0.0000000E+000, 6.4760379E+001
 9.3001178E+002, 9.3183806E+001,-4.2807062E+001,-1.4638092E+001,-3.4659337E+001,-2.7839596E-001,-2.6420635E-002, 0.0000000E+000, 5.8592332E-001, 7.7449861E-001, 0.0000000E+000, 2.2206843E-003, 0.0000000E+000, 6.2639767E+001
