s,C,C,C,C,C,C,C
Time,"Air Temp","VTT_1","IRSN_1","TRAC_2","TRAC_4","GRS_2","NRC_2"
 1.5700353E+003, 2.0232435E+002, 3.0714196E+002, 3.3638708E+002, 3.0093574E+002, 3.0029214E+002, 2.8915297E+002, 3.0752000E+002
 1.5800407E+003, 2.0054436E+002, 3.0335369E+002, 3.3356899E+002, 2.9711190E+002, 2.9646224E+002, 2.8723021E+002, 3.0428424E+002
 1.5900316E+003, 1.9876746E+002, 2.9967815E+002, 3.3082635E+002, 2.9340901E+002, 2.9275411E+002, 2.8538484E+002, 3.0113673E+002
 1.6000125E+003, 1.9699216E+002, 2.9613086E+002, 3.2817162E+002, 2.8984257E+002, 2.8918307E+002, 2.8362141E+002, 2.9819289E+002
 1.6100330E+003, 1.9521475E+002, 2.9267719E+002, 3.2557971E+002, 2.8637312E+002, 2.8570964E+002, 2.8191498E+002, 2.9521378E+002
 1.6200252E+003, 1.9343501E+002, 2.8927277E+002, 3.2301490E+002, 2.8295347E+002, 2.8228659E+002, 2.8023823E+002, 2.9221732E+002
 1.6300152E+003, 1.9166010E+002, 2.8594521E+002, 3.2049747E+002, 2.7961510E+002, 2.7894540E+002, 2.7861203E+002, 2.8934356E+002
 1.6400482E+003, 1.8987889E+002, 2.8267070E+002, 3.1800670E+002, 2.7633209E+002, 2.7566010E+002, 2.7701500E+002, 2.8643587E+002
 1.6500465E+003, 1.8809891E+002, 2.7945493E+002, 3.1554688E+002, 2.7311129E+002, 2.7243747E+002, 2.7545400E+002, 2.8363561E+002
 1.6600343E+003, 1.8632204E+002, 2.7630728E+002, 3.1312754E+002, 2.6996069E+002, 2.6928531E+002, 2.7392976E+002, 2.8086912E+002
 1.6700138E+003, 1.8454682E+002, 2.7323719E+002, 3.1075432E+002, 2.6689161E+002, 2.6621502E+002, 2.7244836E+002, 2.7819773E+002
 1.6800175E+003, 1.8276944E+002, 2.7022117E+002, 3.0840741E+002, 2.6387876E+002, 2.6320140E+002, 2.7099448E+002, 2.7553372E+002
 1.6900306E+003, 1.8099124E+002, 2.6724847E+002, 3.0607825E+002, 2.6091089E+002, 2.6023314E+002, 2.6956073E+002, 2.7283880E+002
