s,m,m,m,m,m,m,C,C,C,C,C,C
Time,"x1","x2","x3","x4","x5","x6","T1","T2","T3","T4","T5","T6"
 9.801E+01, 1.250E+00, 5.925E+01, 9.925E+01, 1.392E+02, 1.705E+02, 1.843E+02, 4.521E+01, 3.869E+01, 4.242E+01, 5.424E+01, 8.137E+02, 1.201E+02
 9.901E+01, 1.250E+00, 5.925E+01, 9.925E+01, 1.393E+02, 1.728E+02, 1.818E+02, 4.520E+01, 3.862E+01, 4.226E+01, 5.333E+01, 9.859E+02, 1.507E+02
 1.000E+02, 1.250E+00, 5.925E+01, 9.925E+01, 1.393E+02, 1.731E+02, 1.817E+02, 4.520E+01, 3.855E+01, 4.210E+01, 5.276E+01, 9.013E+02, 1.768E+02
 1.010E+02, 1.250E+00, 5.925E+01, 9.925E+01, 1.393E+02, 1.756E+02, 1.809E+02, 4.519E+01, 3.848E+01, 4.194E+01, 5.223E+01, 9.791E+02, 3.175E+02
 1.020E+02, 1.250E+00, 5.925E+01, 9.925E+01, 1.393E+02, 1.764E+02, 1.808E+02, 4.519E+01, 3.842E+01, 4.178E+01, 5.155E+01, 1.022E+03, 4.695E+02
 1.030E+02, 1.250E+00, 5.925E+01, 9.925E+01, 1.393E+02, 1.786E+02, 1.804E+02, 4.518E+01, 3.836E+01, 4.162E+01, 5.076E+01, 1.003E+03, 8.189E+02
 1.040E+02, 1.250E+00, 5.925E+01, 9.925E+01, 1.392E+02, 1.788E+02, 1.815E+02, 4.517E+01, 3.830E+01, 4.147E+01, 5.013E+01, 8.556E+02, 9.802E+02
 1.050E+02, 1.250E+00, 5.925E+01, 9.925E+01, 1.393E+02, 1.786E+02, 1.827E+02, 4.517E+01, 3.825E+01, 4.132E+01, 4.965E+01, 7.449E+02, 8.029E+02
 1.060E+02, 1.250E+00, 5.925E+01, 9.925E+01, 1.392E+02, 1.794E+02, 1.843E+02, 4.516E+01, 3.820E+01, 4.117E+01, 4.915E+01, 7.217E+02, 9.431E+02
 1.070E+02, 1.250E+00, 5.925E+01, 9.925E+01, 1.392E+02, 1.798E+02, 1.863E+02, 4.516E+01, 3.815E+01, 4.103E+01, 4.865E+01, 6.123E+02, 9.677E+02
 1.080E+02, 1.250E+00, 5.925E+01, 9.925E+01, 1.392E+02, 1.797E+02, 1.886E+02, 4.515E+01, 3.810E+01, 4.089E+01, 4.818E+01, 4.903E+02, 9.434E+02
 1.090E+02, 1.250E+00, 5.925E+01, 9.925E+01, 1.393E+02, 1.797E+02, 1.892E+02, 4.514E+01, 3.806E+01, 4.076E+01, 4.774E+01, 3.750E+02, 9.503E+02
 1.100E+02, 1.250E+00, 5.925E+01, 9.925E+01, 1.392E+02, 1.797E+02, 1.911E+02, 4.514E+01, 3.802E+01, 4.063E+01, 4.734E+01, 2.567E+02, 9.821E+02
 1.110E+02, 1.250E+00, 5.925E+01, 9.925E+01, 1.393E+02, 1.798E+02, 1.932E+02, 4.514E+01, 3.798E+01, 4.050E+01, 4.692E+01, 1.682E+02, 9.250E+02
 1.120E+02, 1.250E+00, 5.925E+01, 9.925E+01, 1.392E+02, 1.797E+02, 1.949E+02, 4.513E+01, 3.794E+01, 4.038E+01, 4.653E+01, 1.131E+02, 8.744E+02
 1.130E+02, 1.250E+00, 5.925E+01, 9.925E+01, 1.392E+02, 1.798E+02, 1.957E+02, 4.513E+01, 3.791E+01, 4.026E+01, 4.618E+01, 9.670E+01, 9.107E+02
 1.140E+02, 1.250E+00, 5.925E+01, 9.925E+01, 1.392E+02, 1.797E+02, 1.965E+02, 4.512E+01, 3.787E+01, 4.015E+01, 4.590E+01, 8.204E+01, 9.618E+02
 1.150E+02, 1.250E+00, 5.925E+01, 9.925E+01, 1.393E+02, 1.797E+02, 1.989E+02, 4.511E+01, 3.783E+01, 4.005E+01, 4.564E+01, 7.093E+01, 1.015E+03
 1.160E+02, 1.250E+00, 5.925E+01, 9.925E+01, 1.393E+02, 1.798E+02, 2.006E+02, 4.511E+01, 3.780E+01, 3.996E+01, 4.535E+01, 6.443E+01, 9.860E+02
 1.170E+02, 1.250E+00, 5.925E+01, 9.925E+01, 1.392E+02, 1.797E+02, 2.011E+02, 4.510E+01, 3.776E+01, 3.987E+01, 4.504E+01, 5.993E+01, 8.908E+02
 1.180E+02, 1.250E+00, 5.925E+01, 9.925E+01, 1.392E+02, 1.797E+02, 2.004E+02, 4.510E+01, 3.773E+01, 3.979E+01, 4.474E+01, 5.783E+01, 7.370E+02
 1.190E+02, 1.250E+00, 5.925E+01, 9.925E+01, 1.393E+02, 1.798E+02, 1.998E+02, 4.509E+01, 3.770E+01, 3.971E+01, 4.444E+01, 5.743E+01, 4.968E+02
 1.200E+02, 1.250E+00, 5.925E+01, 9.925E+01, 1.392E+02, 1.797E+02, 1.997E+02, 4.509E+01, 3.767E+01, 3.963E+01, 4.416E+01, 5.635E+01, 3.066E+02
 1.210E+02, 1.250E+00, 5.925E+01, 9.925E+01, 1.392E+02, 1.798E+02, 1.993E+02, 4.508E+01, 3.764E+01, 3.956E+01, 4.387E+01, 5.576E+01, 1.761E+02
 1.220E+02, 1.250E+00, 5.925E+01, 9.925E+01, 1.392E+02, 1.797E+02, 1.997E+02, 4.508E+01, 3.761E+01, 3.949E+01, 4.359E+01, 5.494E+01, 1.219E+02
 1.230E+02, 1.250E+00, 5.925E+01, 9.925E+01, 1.393E+02, 1.798E+02, 1.975E+02, 4.508E+01, 3.758E+01, 3.942E+01, 4.334E+01, 5.432E+01, 9.284E+01
 1.240E+02, 1.250E+00, 5.925E+01, 9.925E+01, 1.393E+02, 1.798E+02, 1.958E+02, 4.507E+01, 3.755E+01, 3.936E+01, 4.312E+01, 5.300E+01, 8.496E+01
 1.250E+02, 1.250E+00, 5.925E+01, 9.925E+01, 1.392E+02, 1.797E+02, 1.961E+02, 4.507E+01, 3.753E+01, 3.929E+01, 4.294E+01, 5.165E+01, 7.975E+01
 1.260E+02, 1.250E+00, 5.925E+01, 9.925E+01, 1.393E+02, 1.797E+02, 1.962E+02, 4.507E+01, 3.750E+01, 3.923E+01, 4.279E+01, 5.054E+01, 7.635E+01
 1.270E+02, 1.250E+00, 5.925E+01, 9.925E+01, 1.393E+02, 1.798E+02, 1.968E+02, 4.506E+01, 3.748E+01, 3.917E+01, 4.265E+01, 4.955E+01, 7.400E+01
 1.280E+02, 1.250E+00, 5.925E+01, 9.925E+01, 1.392E+02, 1.798E+02, 1.978E+02, 4.506E+01, 3.745E+01, 3.911E+01, 4.252E+01, 4.810E+01, 6.857E+01
 1.290E+02, 1.250E+00, 5.925E+01, 9.925E+01, 1.393E+02, 1.798E+02, 1.961E+02, 4.506E+01, 3.743E+01, 3.906E+01, 4.239E+01, 4.629E+01, 6.599E+01
 1.300E+02, 1.250E+00, 5.925E+01, 9.925E+01, 1.392E+02, 1.798E+02, 1.962E+02, 4.505E+01, 3.741E+01, 3.900E+01, 4.227E+01, 4.494E+01, 6.402E+01
